chain_shorthand,db_shorthand
PA 6:0_6:0,PA 6:0_6:0
PA 6:0_8:0,PA 6:0_8:0
PA 6:0_10:0,PA 6:0_10:0
PA 6:0_12:0,PA 6:0_12:0
PA 6:0_14:0,PA 6:0_14:0
PA 6:0_16:0,PA 6:0_16:0
PA 6:0_18:0,PA 6:0_18:0
PA 6:0_20:0,PA 6:0_20:0
PA 6:0_22:0,PA 6:0_22:0
PA 6:0_24:0,PA 6:0_24:0
PA 6:0_26:0,PA 6:0_26:0
PA 6:0_28:0,PA 6:0_28:0
PA 6:0_12:1,PA 6:0_12:1(5)
PA 6:0_12:1,PA 6:0_12:1(6)
PA 6:0_12:1,PA 6:0_12:1(9)
PA 6:0_14:1,PA 6:0_14:1(5)
PA 6:0_14:1,PA 6:0_14:1(6)
PA 6:0_14:1,PA 6:0_14:1(9)
PA 6:0_16:1,PA 6:0_16:1(6)
PA 6:0_16:1,PA 6:0_16:1(7)
PA 6:0_16:1,PA 6:0_16:1(9)
PA 6:0_16:2,"PA 6:0_16:2(6,9)"
PA 6:0_18:1,PA 6:0_18:1(11)
PA 6:0_18:1,PA 6:0_18:1(6)
PA 6:0_18:1,PA 6:0_18:1(9)
PA 6:0_18:2,"PA 6:0_18:2(6,9)"
PA 6:0_18:2,"PA 6:0_18:2(9,12)"
PA 6:0_18:3,"PA 6:0_18:3(6,9,12)"
PA 6:0_18:3,"PA 6:0_18:3(9,12,15)"
PA 6:0_18:4,"PA 6:0_18:4(6,9,12,15)"
PA 6:0_20:1,PA 6:0_20:1(11)
PA 6:0_20:1,PA 6:0_20:1(13)
PA 6:0_20:2,"PA 6:0_20:2(11,14)"
PA 6:0_20:2,"PA 6:0_20:2(8,11)"
PA 6:0_20:3,"PA 6:0_20:3(11,14,17)"
PA 6:0_20:3,"PA 6:0_20:3(5,8,11)"
PA 6:0_20:3,"PA 6:0_20:3(8,11,14)"
PA 6:0_20:4,"PA 6:0_20:4(5,8,11,14)"
PA 6:0_20:4,"PA 6:0_20:4(8,11,14,17)"
PA 6:0_20:5,"PA 6:0_20:5(5,8,11,14,17)"
PA 6:0_22:1,PA 6:0_22:1(13)
PA 6:0_22:2,"PA 6:0_22:2(13,16)"
PA 6:0_22:3,"PA 6:0_22:3(7,10,13)"
PA 6:0_22:4,"PA 6:0_22:4(7,10,13,16)"
PA 6:0_22:5,"PA 6:0_22:5(4,7,10,13,16)"
PA 6:0_22:5,"PA 6:0_22:5(4,7,10,13,16)"
PA 6:0_22:5,"PA 6:0_22:5(7,10,13,16,19)"
PA 6:0_22:6,"PA 6:0_22:6(4,7,10,13,16,19)"
PA 6:0_24:1,PA 6:0_24:1(15)
PA 6:0_24:4,"PA 6:0_24:4(9,12,15,18)"
PA 6:0_24:5,"PA 6:0_24:5(6,9,12,15,18)"
PA 6:0_24:5,"PA 6:0_24:5(9,12,15,18,21)"
PA 6:0_24:6,"PA 6:0_24:6(4,7,10,13,16,19)"
PA 6:0_26:1,PA 6:0_26:1(17)
PA 6:0_26:4,"PA 6:0_26:4(11,14,17,20)"
PA 6:0_26:5,"PA 6:0_26:5(11,14,17,20,23)"
