fatty_acid,ID
FA 6:0,
FA 8:0,
FA 10:0,
FA 12:0,
FA 14:0,
FA 16:0,
FA 18:0,
FA 20:0,
FA 22:0,
FA 24:0,
FA 26:0,
FA 28:0,
FA 12:1(5),LMFA01030225
FA 12:1(6),LMFA01030039
FA 12:1(9),LMFA01030041
FA 14:1(5),LMFA01030913
FA 14:1(6),LMFA01031286
FA 14:1(9),LMFA01030051
FA 16:1(6),LMFA01030267
FA 16:1(7),LMFA01030055
FA 16:1(9),
"FA 16:2(6,9)",
FA 18:1(11),
FA 18:1(6),
FA 18:1(9),
"FA 18:2(6,9)",
"FA 18:2(9,12)",
"FA 18:3(6,9,12)",
"FA 18:3(9,12,15)",
"FA 18:4(6,9,12,15)",
FA 20:1(11),
FA 20:1(13),
"FA 20:2(11,14)",
"FA 20:2(8,11)",
"FA 20:3(11,14,17)",
"FA 20:3(5,8,11)",
"FA 20:3(8,11,14)",
"FA 20:4(5,8,11,14)",
"FA 20:4(8,11,14,17)",
"FA 20:5(5,8,11,14,17)",
FA 22:1(13),
"FA 22:2(13,16)",
"FA 22:3(7,10,13)",
"FA 22:4(7,10,13,16)",
"FA 22:5(4,7,10,13,16)",
"FA 22:5(4,7,10,13,16)",
"FA 22:5(7,10,13,16,19)",
"FA 22:6(4,7,10,13,16,19)",
FA 24:1(15),
"FA 24:4(9,12,15,18)",
"FA 24:5(6,9,12,15,18)",
"FA 24:5(9,12,15,18,21)",
"FA 24:6(4,7,10,13,16,19)",
FA 26:1(17),
"FA 26:4(11,14,17,20)",
"FA 26:5(11,14,17,20,23)",
"FA 26:5(8,11,14,17,20)",
"FA 26:6(8,11,14,17,20,23)",
"FA 28:4(13,16,19,22)",
"FA 28:5(10,13,16,19,22)",
"FA 28:5(13,16,19,22,25)",
"FA 28:6(10,13,16,19,22,25)",
