chain_shorthand,db_shorthand
CL 18:2_18:2_18:2_18:2,"CL 18:2(9,12)_18:2(9,12)_18:2(9,12)_18:2(9,12)"
CL 24:1_24:1_24:1_14:1,CL 24:1(15)_24:1(15)_24:1(15)_14:1(9)
CL 14:1_14:1_14:1_15:1,CL 14:1(9)_14:1(9)_14:1(9)_15:1(10)
CL 15:0_15:0_15:0_16:1,CL 15:0_15:0_15:0_16:1(9)
CL 22:1_22:1_22:1_14:1,CL 22:1(13)_22:1(13)_22:1(13)_14:1(9)
CL 16:0_18:1_16:0_18:1,CL 16:0_18:1(11)_16:0_18:1(11)
CL 16:0_16:0_16:0_16:0,CL 16:0_16:0_16:0_16:0
CL 16:0_16:0_16:0_18:0,CL 16:0_16:0_16:0_18:0
CL 16:0_16:0_16:0_18:1,CL 16:0_16:0_16:0_18:1(9)
CL 16:0_16:0_16:0_18:2,"CL 16:0_16:0_16:0_18:2(9,12)"
CL 16:0_16:0_16:0_20:0,CL 16:0_16:0_16:0_20:0
CL 16:0_16:0_16:0_20:4,"CL 16:0_16:0_16:0_20:4(5,8,11,14)"
CL 16:0_16:0_18:0_16:0,CL 16:0_16:0_18:0_16:0
CL 16:0_16:0_18:0_18:0,CL 16:0_16:0_18:0_18:0
CL 16:0_16:0_18:0_18:1,CL 16:0_16:0_18:0_18:1(9)
CL 16:0_16:0_18:0_18:2,"CL 16:0_16:0_18:0_18:2(9,12)"
CL 16:0_16:0_18:0_20:0,CL 16:0_16:0_18:0_20:0
CL 16:0_16:0_18:0_20:4,"CL 16:0_16:0_18:0_20:4(5,8,11,14)"
CL 16:0_16:0_18:1_16:0,CL 16:0_16:0_18:1(9)_16:0
CL 16:0_16:0_18:1_18:0,CL 16:0_16:0_18:1(9)_18:0
CL 16:0_16:0_18:1_18:1,CL 16:0_16:0_18:1(9)_18:1(9)
CL 16:0_16:0_18:1_18:2,"CL 16:0_16:0_18:1(9)_18:2(9,12)"
CL 16:0_16:0_18:1_20:0,CL 16:0_16:0_18:1(9)_20:0
CL 16:0_16:0_18:1_20:4,"CL 16:0_16:0_18:1(9)_20:4(5,8,11,14)"
CL 16:0_16:0_18:2_16:0,"CL 16:0_16:0_18:2(9,12)_16:0"
CL 16:0_16:0_18:2_18:0,"CL 16:0_16:0_18:2(9,12)_18:0"
CL 16:0_16:0_18:2_18:1,"CL 16:0_16:0_18:2(9,12)_18:1(9)"
CL 16:0_16:0_18:2_18:2,"CL 16:0_16:0_18:2(9,12)_18:2(9,12)"
CL 16:0_16:0_18:2_20:0,"CL 16:0_16:0_18:2(9,12)_20:0"
CL 16:0_16:0_18:2_20:4,"CL 16:0_16:0_18:2(9,12)_20:4(5,8,11,14)"
CL 16:0_16:0_20:0_16:0,CL 16:0_16:0_20:0_16:0
CL 16:0_16:0_20:0_18:0,CL 16:0_16:0_20:0_18:0
CL 16:0_16:0_20:0_18:1,CL 16:0_16:0_20:0_18:1(9)
CL 16:0_16:0_20:0_18:2,"CL 16:0_16:0_20:0_18:2(9,12)"
CL 16:0_16:0_20:0_20:0,CL 16:0_16:0_20:0_20:0
CL 16:0_16:0_20:0_20:4,"CL 16:0_16:0_20:0_20:4(5,8,11,14)"
