row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,neg_FRN5_N2.mzML Peak area,neg_FRN3_N2.mzML Peak area,neg_FRN2_N2.mzML Peak area,neg_FRN4_N2.mzML Peak area,neg_HFO5_N2.mzML Peak area,neg_HFO2_N2.mzML Peak area,neg_HFO1_N2.mzML Peak area,neg_FRN1_N2.mzML Peak area,neg_HFO4_N2.mzML Peak area,neg_HFO3_N2.mzML Peak area,
1,219.84521136547284,0.023778278,,,,,,,,,,,0,0,0,0,0,0,34498.895,0,0,0,
2,255.82202230610343,0.023778278,,,,,,,,,,,0,0,0,0,0,0,178458.2,0,0,0,
3,256.821768031294,0.023778278,,,,,,,,,,,0,0,0,0,0,0,10222.175,0,0,0,
4,257.8189883935,0.023778278,,,,,,,,,,,0,0,0,0,0,0,179167.55,0,0,0,
5,258.8186024132139,0.023778278,,,,,,,,,,,0,0,0,0,0,0,10058.192,0,0,0,
6,259.81583727519705,0.023778278,,,,,,,,,,,0,0,0,0,0,0,62754.277,0,0,0,
7,261.81280727838583,0.023778278,,,,,,,,,,,0,0,0,0,0,0,8551.309,0,0,0,
8,380.7907841133467,0.023778278,,,,,,,,,,,0,0,0,0,0,0,1280.9633,0,0,0,
9,399.9189414005802,0.023778278,,,,,,,,,,,0,0,0,0,0,0,6787.0786,0,0,0,
10,401.91525310299295,0.023778278,,,,,,,,,,,0,0,0,0,0,0,6014.8223,0,0,0,
11,528.0027753209156,0.023778278,,,,,,,,,,,0,0,0,0,0,0,3766.9656,0,0,0,
12,532.1299788614508,0.023778278,,,,,,,,,,,0,0,0,0,0,0,3700.2046,0,0,0,
13,544.015727469415,0.023778278,,,,,,,,,,,0,0,0,0,0,0,3576.2446,0,0,0,
14,550.1406094806118,0.023778278,,,,,,,,,,,0,0,0,0,0,0,32253.654,0,0,0,
15,552.137378121484,0.023778278,,,,,,,,,,,0,0,0,0,0,0,12392.662,0,0,0,
16,217.8496146296926,0.02382413,,,,,,,,,,,0,0,0,0,0,706.1858,1086.0773,0,0,0,
17,526.0053888849181,0.02382413,,,,,,,,,,,0,0,0,0,0,3857.721,3901.352,0,0,0,
18,286.835060844891,0.023869982,,,,,,,,,,,0,0,0,0,0,829.058,0,0,0,0,
19,317.8297814139481,0.023869982,,,,,,,,,,,0,0,0,0,0,14068.916,0,0,0,0,
20,343.7803641205067,0.023869982,,,,,,,,,,,0,0,0,0,0,1551.4276,0,0,0,0,
21,492.1263860223966,0.023886388,,,,,,,,,,,0,0,0,0,0,216227.88,240649.14,0,0,188470.8,
22,508.03898272894116,0.02389459,,,,,,,,,,,0,0,0,0,0,0,7297.791,0,0,3392.0176,
23,284.8379922710615,0.023931103,,,,,,,,,,,0,0,0,0,0,8870.119,13751.303,5916.704,0,0,
24,220.84505331521675,0.023961656,,,,,,,,,,,0,0,0,0,0,0,1290.9829,0,1187.9137,0,
25,510.0361586962978,0.023935422,,,,,,,,,,,0,0,0,0,2690.7656,0,5621.3516,0,0,0,
26,470.03320916452026,0.02394044,,,,,,,,,,,0,0,0,0,0,5589.0312,0,0,0,1165.2157,
27,496.12077720066515,0.023938483,,,,,,,,,,,2680.2546,0,0,0,0,3048.774,4669.138,0,0,0,
28,282.8409636342343,0.023961663,,,,,,,,,,,0,0,0,0,0,0,25192.328,9570.186,0,0,
29,544.1671275035344,0.023939515,,,,,,,,,,,0,0,0,2703.0393,0,3234.1357,0,0,0,0,
30,251.84573484275424,0.023983585,,,,,,,,,,,0,0,1818.8336,0,0,0,0,0,0,0,
31,534.1265213133013,0.023961656,,,,,,,,,,,0,0,0,0,0,0,2530.4165,0,1228.1218,0,
32,432.05872831989507,0.023974296,,,,,,,,,,,0,4186.1206,0,0,6607.4116,6512.7334,6840.6514,0,0,0,
33,490.1295391916894,0.023978077,,,,,,,,,,,0,0,0,0,0,0,265651.9,111396.1,0,137349.86,
34,494.1231270488808,0.023978077,,,,,,,,,,,0,0,0,0,0,0,78106.664,59176.848,0,53865.734,
