row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,neg_FRN5_O3.mzML Peak area,neg_FRN4_O3.mzML Peak area,neg_FRN3_O3.mzML Peak area,neg_FRN2_O3.mzML Peak area,neg_FRN1_O3.mzML Peak area,neg_HFO1_O3.mzML Peak area,neg_HFO3_O3.mzML Peak area,neg_HFO2_O3.mzML Peak area,neg_HFO5_O3.mzML Peak area,neg_HFO4_O3.mzML Peak area,
1,223.87222569252097,0.018618798,,,,,,,,,,,0,0,0,0,0,0,0,0,8478.615,0,
2,250.8966854686804,0.018717948,,,,,,,,,,,12197.562,0,0,0,0,0,0,0,15682.117,0,
3,228.9035235048809,0.018912831,,,,,,,,,,,16677.168,22206.078,24077.533,16019.333,24447.756,39609.137,39662.875,0,0,0,
4,248.89332678754226,0.018932879,,,,,,,,,,,1386879.0,1429669.2,963263.4,795278.1,1016755.94,1576086.5,1604269.6,1808698.6,996060.94,737952.06,
5,250.89154275115712,0.018932879,,,,,,,,,,,622142.6,396646.88,430299.56,363516.97,454799.12,701153.06,309654.53,717996.0,370982.8,488950.7,
6,221.8744602474659,0.019022033,,,,,,,,,,,0,6844.209,0,0,6207.748,0,0,0,0,0,
7,400.8734611256333,0.019027315,,,,,,,,,,,0,0,0,0,0,3258.8013,0,0,0,0,
8,252.89611594475164,0.020650927,,,,,,,,,,,4913.7275,0,4833.232,3764.7617,5445.5557,13149.469,7382.003,11511.58,7391.7495,0,
9,274.9116674183785,0.032852214,,,,,,,,,,,0,0,0,0,0,0,0,0,4102.121,0,
10,241.91151061404966,0.033106,,,,,,,,,,,0,3339.3994,0,0,0,0,0,0,0,0,
11,283.95809107440255,0.033106,,,,,,,,,,,0,14824.411,0,0,0,0,0,0,0,0,
12,500.0825645652818,0.033398498,,,,,,,,,,,0,0,0,0,4464.8223,0,0,0,0,0,
13,373.8083275489698,0.03358148,,,,,,,,,,,0,0,0,0,0,5124.5747,0,0,0,0,
14,230.90172041222402,0.034296956,,,,,,,,,,,8776.531,0,9610.712,0,11155.076,19028.877,11665.273,0,0,9066.984,
15,608.1157434749855,0.0342671,,,,,,,,,,,0,0,0,0,0,0,2206.5073,0,0,0,
16,205.913867091053,0.040897172,,,,,,,,,,,2639.2388,0,0,0,0,0,0,0,2176.0398,0,
17,239.9685097439375,0.04109945,,,,,,,,,,,0,0,4469.9136,2451.1694,0,0,0,0,0,0,
18,295.8309968663521,0.041451637,,,,,,,,,,,8432.279,9761.429,5504.399,7861.55,11403.877,16750.31,7981.311,14584.219,7151.3496,10519.397,
19,221.90890790084708,0.048364844,,,,,,,,,,,0,0,0,0,0,3635.9392,0,0,0,0,
20,250.93202592675235,0.048364844,,,,,,,,,,,0,0,0,0,0,4251.078,0,0,0,0,
