row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,pos_FRN3_N2.mzML Peak area,pos_FRN1_N2.mzML Peak area,pos_HFO1_N2.mzML Peak area,pos_FRN5_N2.mzML Peak area,pos_FRN2_N2.mzML Peak area,pos_FRN4_N2.mzML Peak area,pos_HFO2_N2.mzML Peak area,pos_HFO5_N2.mzML Peak area,pos_HFO3_N2.mzML Peak area,pos_HFO4_N2.mzML Peak area,
1,429.22681613337164,0.020050569,,,,,,,,,,,0,0,0,0,0,0,1050.6487,0,0,0,
2,440.2860369330682,0.020526417,,,,,,,,,,,0,396.88467,0,0,0,0,0,0,0,0,
3,481.84328865905263,0.020552248,,,,,,,,,,,0,0,0,0,0,0,0,2781.661,0,0,
4,691.7654702538645,0.020674216,,,,,,,,,,,1190.4436,0,0,0,0,0,0,0,0,0,
5,296.2122822726903,0.034310885,,,,,,,,,,,0,0,0,0,0,0,1260.5833,0,0,0,
6,217.15346805450662,0.03607925,,,,,,,,,,,0,0,0,0,0,0,0,344.02698,0,0,
7,496.78862141649626,0.036083426,,,,,,,,,,,0,0,0,1112.7289,0,0,0,0,0,0,
8,844.7837068954195,0.03607853,,,,,,,,,,,0,419.15994,0,0,0,0,0,0,0,0,
9,565.7918174482721,0.036211632,,,,,,,,,,,973.78516,0,0,0,0,0,0,0,0,0,
10,250.21085475320422,0.046448946,,,,,,,,,,,1140.3341,0,0,958.0561,0,863.0333,0,0,0,0,
11,238.85683392001525,0.04985467,,,,,,,,,,,0,0,0,0,0,0,5780.3843,0,0,0,
12,375.21159190773864,0.04985467,,,,,,,,,,,0,0,0,0,0,0,2447.2441,0,0,0,
13,798.8362177929453,0.04985467,,,,,,,,,,,0,0,0,0,0,0,2268.4067,0,0,0,
14,523.8280142953977,0.051412094,,,,,,,,,,,0,0,0,0,0,0,0,0,0,915.2543,
