row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,pos_FRN1_O3.mzML Peak area,pos_FRN3_O3.mzML Peak area,pos_FRN5_O3.mzML Peak area,pos_HFO1_O3.mzML Peak area,pos_FRN4_O3.mzML Peak area,pos_FRN2_O3.mzML Peak area,pos_HFO2_O3.mzML Peak area,pos_HFO3_O3.mzML Peak area,pos_HFO5_O3.mzML Peak area,pos_HFO4_O3.mzML Peak area,
1,265.87198707076135,0.020451764,,,,,,,,,,,0,0,0,1632.2622,0,0,0,0,0,0,
2,355.18233493429426,0.020451764,,,,,,,,,,,0,0,0,1563.2922,0,0,0,0,0,0,
3,642.86702813188,0.03633423,,,,,,,,,,,0,0,0,0,0,0,0,0,428.43265,0,
4,748.1120854902837,0.03650891,,,,,,,,,,,0,0,0,0,0,595.0388,0,0,0,0,
5,454.3018300909109,0.03659534,,,,,,,,,,,1122.3501,0,0,0,657.222,0,0,0,0,0,
6,696.7922454057343,0.051813435,,,,,,,,,,,0,0,0,0,0,0,0,0,679.4889,0,
7,484.11890305362704,0.051914047,,,,,,,,,,,1309.3937,0,0,0,0,0,0,0,0,0,
8,578.1562636214439,0.051914047,,,,,,,,,,,811.1979,0,0,0,0,0,0,0,0,0,
9,663.1342966973509,0.051914047,,,,,,,,,,,809.32434,0,0,0,0,0,0,0,0,0,
10,660.9877482334111,0.05226,,,,,,,,,,,0,0,0,0,404.4361,0,0,0,0,0,
11,504.8313295487747,0.067628115,,,,,,,,,,,0,871.1429,0,0,0,0,0,0,0,0,
12,558.7866621413674,0.067860015,,,,,,,,,,,0,0,0,0,509.8902,0,0,0,0,0,
13,520.8051142754149,0.08274012,,,,,,,,,,,0,1852.0236,0,0,0,0,0,650.5895,851.47253,0,
14,745.9659241639408,0.097935684,,,,,,,,,,,0,0,0,0,0,0,0,0,0,351.84848,
15,589.8094558055606,0.09845167,,,,,,,,,,,959.50037,0,0,0,0,0,0,0,0,0,
16,244.2635794613539,0.11373762,,,,,,,,,,,0,0,0,0,0,0,0,0,0,445.59424,
17,830.943905957306,0.1147581,,,,,,,,,,,0,0,0,0,633.28046,0,0,0,0,0,
18,842.1488871549909,0.121194094,,,,,,,,,,,0,476.0198,0,0,0,0,0,597.33984,0,0,
19,596.7507329921982,0.12207267,,,,,,,,,,,0,0,0,0,0,1194.3875,0,0,718.5001,0,
20,318.3001535160906,0.12812275,,,,,,,,,,,0,0,0,10822.915,0,0,0,0,0,0,
21,736.9058725164284,0.14473356,,,,,,,,,,,0,0,0,0,0,0,0,0,0,506.54547,
22,202.21075252352108,0.14510937,,,,,,,,,,,0,0,0,0,0,0,0,0,930.7957,0,
23,484.118630126428,0.1592309,,,,,,,,,,,0,0,0,0,0,0,0,1517.478,0,0,
24,327.8418534364363,0.16099438,,,,,,,,,,,0,0,0,0,0,869.43744,0,0,0,0,
25,259.25521262308155,0.16127273,,,,,,,,,,,0,0,988.1495,0,0,0,0,0,0,0,
26,455.05810031199877,0.19150446,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1081.7974,
27,227.92566787393724,0.19266436,,,,,,,,,,,0,0,0,0,663.16626,0,0,0,0,0,
28,454.3021609986947,0.19266436,,,,,,,,,,,0,0,0,0,343.25528,0,0,0,0,0,
29,833.0888670167375,0.206962,,,,,,,,,,,709.60486,0,0,0,0,0,0,1009.1425,526.1824,0,
30,527.747244812443,0.20800535,,,,,,,,,,,0,1216.8722,0,0,0,0,0,0,0,0,
31,612.7249230278748,0.20800535,,,,,,,,,,,0,1180.5107,0,0,0,0,0,0,0,0,
32,748.1117290193486,0.23923315,,,,,,,,,,,0,0,0,0,1011.8382,0,0,0,0,0,
33,242.2841140800238,0.2516438,,,,,,,,,,,0,0,0,12658.059,0,0,0,0,0,0,
34,202.2107509226543,0.26714584,,,,,,,,,,,0,0,0,397.10464,0,0,0,0,0,0,
35,663.1339053419215,0.29373893,,,,,,,,,,,0,0,397.02295,0,0,1239.7815,0,0,0,0,
36,645.9105505124298,0.30137005,,,,,,,,,,,0,542.8121,0,0,0,0,0,0,0,0,
37,585.0701875350571,0.31633875,,,,,,,,,,,0,0,0,0,0,0,0,0,654.6561,0,
38,611.8146192335565,0.32828352,,,,,,,,,,,0,0,0,843.32806,0,0,0,0,0,0,
39,663.1344250998546,0.33231962,,,,,,,,,,,0,0,0,0,0,855.17004,0,0,0,0,
40,416.2311006135172,0.36314508,,,,,,,,,,,0,0,0,0,0,0,0,0,880.7898,0,
41,830.9421123602133,0.3941743,,,,,,,,,,,0,0,0,0,0,0,0,0,524.12134,0,
42,596.750611670565,0.40549484,,,,,,,,,,,0,0,0,0,0,0,1248.8019,0,0,0,
43,214.2528191718848,0.42158234,,,,,,,,,,,0,0,0,3423.734,0,0,1708.9359,1457.8207,0,0,
44,358.1201040380713,0.4216399,,,,,,,,,,,0,0,0,2254.7832,0,0,0,0,0,0,
45,312.9033756972827,0.4261647,,,,,,,,,,,0,0,0,0,850.93396,0,0,0,0,0,
46,296.97401460712405,0.44712654,,,,,,,,,,,0,0,0,0,0,495.23163,0,2248.1775,0,0,
47,219.1871107411899,0.4703257,,,,,,,,,,,0,0,0,0,0,0,0,900.1382,1274.993,0,
48,842.1482392369942,0.47127357,,,,,,,,,,,0,0,0,0,0,0,0,0,0,795.94794,
49,276.98757296547114,0.5498224,,,,,,,,,,,0,0,0,0,0,0,0,0,765.97504,0,
50,705.8532279348634,0.5665335,,,,,,,,,,,0,0,0,0,724.18176,0,0,0,0,0,
51,296.97421435278966,0.58069396,,,,,,,,,,,956.47394,0,0,0,0,0,0,0,0,0,
52,842.1488126552588,0.5922752,,,,,,,,,,,0,0,0,0,0,0,0,1311.8174,0,0,
53,219.18706798452465,0.59344727,,,,,,,,,,,0,0,0,1244.0717,0,0,0,1224.4641,741.00073,0,
54,654.0733407370916,0.60713583,,,,,,,,,,,0,0,0,1164.2476,0,0,0,0,0,0,
55,808.9511011461468,0.6281825,,,,,,,,,,,0,0,0,0,0,398.9672,0,0,0,0,
56,833.0884006267968,0.6542023,,,,,,,,,,,0,0,0,0,0,0,0,1825.5164,0,0,
57,842.1485722897265,0.6542023,,,,,,,,,,,0,0,0,0,0,0,0,570.6857,0,0,
58,455.0580218926258,0.6591825,,,,,,,,,,,0,0,0,0,0,868.895,0,0,0,0,
59,748.1113861363235,0.67206407,,,,,,,,,,,0,251.162,0,0,0,0,767.1625,0,0,0,
60,219.1871724957477,0.6863421,,,,,,,,,,,836.23486,0,0,1052.0425,3780.7844,775.03467,0,722.9979,1247.1753,2357.118,
61,636.849521542438,0.7053732,,,,,,,,,,,506.224,0,0,0,0,0,0,0,0,0,
62,818.0109398148472,0.721831,,,,,,,,,,,0,323.57727,0,0,0,0,0,0,0,0,
63,663.1344778501698,0.7221849,,,,,,,,,,,0,0,380.3239,0,1615.4344,0,0,0,0,0,
64,276.987551982848,0.7827069,,,,,,,,,,,1250.1462,0,0,0,0,0,0,0,0,1040.4565,
65,808.9509837009929,0.8156298,,,,,,,,,,,0,0,0,0,662.2157,0,0,0,0,0,
66,219.18714707010616,0.8216205,,,,,,,,,,,1815.6938,0,0,0,0,0,0,0,0,675.33374,
67,818.0114748748965,0.83112353,,,,,,,,,,,0,0,0,0,906.02826,0,0,0,0,0,
68,276.98756444622506,0.84489655,,,,,,,,,,,618.32495,0,0,0,0,0,0,0,0,621.4863,
69,296.97413427588725,0.8692121,,,,,,,,,,,0,0,0,0,0,0,549.8888,0,0,0,
