id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:similarity_score,spectral_db_matches:n_matching_signals,spectral_db_matches:explained_intensity_percent,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:mz_diff,spectral_db_matches:mz_diff_ppm,spectral_db_matches:ccs,datafile:POS_liver1_0.mzML:feature_state,datafile:POS_liver1_0.mzML:mz,datafile:POS_liver1_0.mzML:mz_range:min,datafile:POS_liver1_0.mzML:mz_range:max,datafile:POS_liver1_0.mzML:rt,datafile:POS_liver1_0.mzML:rt_range:min,datafile:POS_liver1_0.mzML:rt_range:max,datafile:POS_liver1_0.mzML:height,datafile:POS_liver1_0.mzML:area,datafile:POS_liver1_0.mzML:intensity_range:min,datafile:POS_liver1_0.mzML:intensity_range:max,datafile:POS_liver1_0.mzML:fwhm,datafile:POS_liver1_0.mzML:tailing_factor,datafile:POS_liver1_0.mzML:asymmetry_factor,datafile:POS_liver1_0.mzML:fragment_scans,datafile:POS_liver1_0.mzML:rt_ms2_apex_distance,datafile:POS_liver1_1.mzML:feature_state,datafile:POS_liver1_1.mzML:mz,datafile:POS_liver1_1.mzML:mz_range:min,datafile:POS_liver1_1.mzML:mz_range:max,datafile:POS_liver1_1.mzML:rt,datafile:POS_liver1_1.mzML:rt_range:min,datafile:POS_liver1_1.mzML:rt_range:max,datafile:POS_liver1_1.mzML:height,datafile:POS_liver1_1.mzML:area,datafile:POS_liver1_1.mzML:intensity_range:min,datafile:POS_liver1_1.mzML:intensity_range:max,datafile:POS_liver1_1.mzML:fwhm,datafile:POS_liver1_1.mzML:tailing_factor,datafile:POS_liver1_1.mzML:asymmetry_factor,datafile:POS_liver1_1.mzML:fragment_scans,datafile:POS_liver1_1.mzML:rt_ms2_apex_distance,datafile:POS_liver1_2.mzML:feature_state,datafile:POS_liver1_2.mzML:mz,datafile:POS_liver1_2.mzML:mz_range:min,datafile:POS_liver1_2.mzML:mz_range:max,datafile:POS_liver1_2.mzML:rt,datafile:POS_liver1_2.mzML:rt_range:min,datafile:POS_liver1_2.mzML:rt_range:max,datafile:POS_liver1_2.mzML:height,datafile:POS_liver1_2.mzML:area,datafile:POS_liver1_2.mzML:intensity_range:min,datafile:POS_liver1_2.mzML:intensity_range:max,datafile:POS_liver1_2.mzML:fwhm,datafile:POS_liver1_2.mzML:tailing_factor,datafile:POS_liver1_2.mzML:asymmetry_factor,datafile:POS_liver1_2.mzML:fragment_scans,datafile:POS_liver1_2.mzML:rt_ms2_apex_distance,datafile:POS_liver1_3.mzML:feature_state,datafile:POS_liver1_3.mzML:mz,datafile:POS_liver1_3.mzML:mz_range:min,datafile:POS_liver1_3.mzML:mz_range:max,datafile:POS_liver1_3.mzML:rt,datafile:POS_liver1_3.mzML:rt_range:min,datafile:POS_liver1_3.mzML:rt_range:max,datafile:POS_liver1_3.mzML:height,datafile:POS_liver1_3.mzML:area,datafile:POS_liver1_3.mzML:intensity_range:min,datafile:POS_liver1_3.mzML:intensity_range:max,datafile:POS_liver1_3.mzML:fwhm,datafile:POS_liver1_3.mzML:tailing_factor,datafile:POS_liver1_3.mzML:asymmetry_factor,datafile:POS_liver1_3.mzML:fragment_scans,datafile:POS_liver1_3.mzML:rt_ms2_apex_distance
1,0.0215,0.0034,0.0523,239.14887,239.14877,239.14902,3.589E5,1.153E4,1.109E5,3.589E5,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,239.14887,239.14877,239.14902,0.0215,0.0034,0.0523,3.589E5,1.153E4,1.109E5,3.589E5,0.0338,1.3501,1.7001,,,UNKNOWN,,,,,,,,,,,,,,,
2,0.0215,0.0034,0.0679,337.85384,337.85361,337.85428,3.988E4,1.655E3,1.052E4,3.988E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,337.85384,337.85361,337.85428,0.0215,0.0034,0.0679,3.988E4,1.655E3,1.052E4,3.988E4,0.0446,1.7807,2.5613,,,UNKNOWN,,,,,,,,,,,,,,,
3,0.0215,0.0034,0.0523,710.4164,710.41473,710.41805,3.964E4,1.037E3,1.189E4,3.964E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,710.4164,710.41473,710.41805,0.0215,0.0034,0.0523,3.964E4,1.037E3,1.189E4,3.964E4,0.029,1.3501,1.7001,,,UNKNOWN,,,,,,,,,,,,,,,
4,0.9227,0.8936,0.9543,368.81708,368.8168,368.81723,7.348E4,2.419E3,1.58E4,7.348E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,368.81708,368.8168,368.81723,0.9227,0.8936,0.9543,7.348E4,2.419E3,1.58E4,7.348E4,0.0326,1.0449,1.0897,,
5,0.9284,0.9033,0.9825,451.79765,451.79742,451.79807,4.392E4,1.553E3,8.797E3,4.392E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,DETECTED,451.79765,451.79742,451.79807,0.9284,0.9033,0.9825,4.392E4,1.553E3,8.797E3,4.392E4,0.0327,1.5786,2.1573,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
6,0.9299,0.9009,0.9768,451.79758,451.79715,451.79776,3.472E4,1.066E3,5.627E3,3.472E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,451.79758,451.79715,451.79776,0.9299,0.9009,0.9768,3.472E4,1.066E3,5.627E3,3.472E4,0.0269,1.3048,1.1735,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
7,0.9329,0.9018,0.9936,231.08378,231.08368,231.08424,3.408E4,1.43E3,8.685E3,3.408E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,231.08378,231.08368,231.08424,0.9329,0.9018,0.9936,3.408E4,1.43E3,8.685E3,3.408E4,0.0389,1.4734,1.9469,,,UNKNOWN,,,,,,,,,,,,,,,
8,0.9329,0.8862,1.0851,274.09204,274.09177,274.09238,3.234E4,3.008E3,7.941E3,3.234E4,0,0.25,1,2,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,274.09204,274.09177,274.09238,0.9329,0.8862,1.0851,3.234E4,3.008E3,7.941E3,3.234E4,0.0885,2.1294,3.2588,,,UNKNOWN,,,,,,,,,,,,,,,
9,0.9329,0.8862,1.0384,310.11302,310.11282,310.11331,3.088E4,2.805E3,6.818E3,3.088E4,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,310.11302,310.11282,310.11331,0.9329,0.8862,1.0384,3.088E4,2.805E3,6.818E3,3.088E4,0.1124,1.6296,2.2592,,,UNKNOWN,,,,,,,,,,,,,,,
10,0.9329,0.8862,0.978,453.79482,453.79428,453.79507,4.521E4,1.643E3,6.986E3,4.521E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,453.79482,453.79428,453.79507,0.9329,0.8862,0.978,4.521E4,1.643E3,6.986E3,4.521E4,0.0341,0.9828,1.099,,,UNKNOWN,,,,,,,,,,,,,,,
11,0.9387,0.8936,1.0012,274.09198,274.09167,274.09219,3.174E4,2.117E3,5.931E3,3.174E4,0,0.25,1,2,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,274.09198,274.09167,274.09219,0.9387,0.8936,1.0012,3.174E4,2.117E3,5.931E3,3.174E4,0.0678,1.1935,1.387,,
12,0.9387,0.9092,1.0012,314.18082,314.18057,314.181,3.913E4,2.173E3,7.114E3,3.913E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,314.18082,314.18057,314.181,0.9387,0.9092,1.0012,3.913E4,2.173E3,7.114E3,3.913E4,0.0559,1.5615,2.123,,
13,0.9387,0.8936,1.0947,354.07699,354.07678,354.07782,3.137E4,3.055E3,7.827E3,3.137E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,354.07699,354.07678,354.07782,0.9387,0.8936,1.0947,3.137E4,3.055E3,7.827E3,3.137E4,0.0873,2.231,3.462,,
14,0.9387,0.9092,1.0325,358.20695,358.20667,358.20734,4.35E4,2.85E3,1.074E4,4.35E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,358.20695,358.20667,358.20734,0.9387,0.9092,1.0325,4.35E4,2.85E3,1.074E4,4.35E4,0.058,2.0937,3.1874,,
15,0.9387,0.9092,1.0012,402.23341,402.23325,402.23358,3.103E4,1.933E3,7.425E3,3.103E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,402.23341,402.23325,402.23358,0.9387,0.9092,1.0012,3.103E4,1.933E3,7.425E3,3.103E4,0.0666,1.5615,2.123,,
16,0.9387,0.9092,1.0479,652.57896,652.57685,652.57977,3.1E4,1.727E3,5.454E3,3.1E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,652.57896,652.57685,652.57977,0.9387,0.9092,1.0479,3.1E4,1.727E3,5.454E3,3.1E4,0.0278,2.3557,4.7284,,
17,0.9438,0.8877,1.0605,274.09197,274.09167,274.09219,3.428E4,2.96E3,5.671E3,3.428E4,0,0.25,1,2,1,0,0,0,0,,,,,,,,,,,,,DETECTED,274.09197,274.09167,274.09219,0.9438,0.8877,1.0605,3.428E4,2.96E3,5.671E3,3.428E4,0.0711,1.5396,2.7215,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
18,0.9438,0.8877,1.0916,310.11302,310.11279,310.11331,3.322E4,3.139E3,5.992E3,3.322E4,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,DETECTED,310.11302,310.11279,310.11331,0.9438,0.8877,1.0916,3.322E4,3.139E3,5.992E3,3.322E4,0.0797,1.8167,2.0897,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
19,0.9438,0.8877,1.0136,332.0949,332.09476,332.09525,3.115E4,2.175E3,1.016E4,3.115E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,DETECTED,332.0949,332.09476,332.09525,0.9438,0.8877,1.0136,3.115E4,2.175E3,1.016E4,3.115E4,0.0448,1.1217,1.2435,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
20,0.9438,0.9033,0.9825,478.81676,478.81662,478.81701,3.389E4,1.319E3,8.226E3,3.389E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,DETECTED,478.81676,478.81662,478.81701,0.9438,0.9033,0.9825,3.389E4,1.319E3,8.226E3,3.389E4,0.0366,0.9762,0.9524,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
21,0.9438,0.9168,1.0761,608.21877,608.21759,608.22003,4.845E4,3.36E3,6.363E3,4.845E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,DETECTED,608.21877,608.21759,608.22003,0.9438,0.9168,1.0761,4.845E4,3.36E3,6.363E3,4.845E4,0.0668,2.9448,4.4155,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
22,0.9438,0.9168,1.045,630.56619,630.5657,630.56677,3.94E4,2.721E3,1.004E4,3.94E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,DETECTED,630.56619,630.5657,630.56677,0.9438,0.9168,1.045,3.94E4,2.721E3,1.004E4,3.94E4,1.0906,2.3694,3.7388,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
