id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_2.mzML:rt,datafile:NEG_NIST_2.mzML:mz_range:min,datafile:NEG_NIST_2.mzML:mz_range:max,datafile:NEG_NIST_2.mzML:fragment_scans,datafile:NEG_NIST_2.mzML:fwhm,datafile:NEG_NIST_2.mzML:rt_range:min,datafile:NEG_NIST_2.mzML:rt_range:max,datafile:NEG_NIST_2.mzML:feature_state,datafile:NEG_NIST_2.mzML:mz,datafile:NEG_NIST_2.mzML:intensity_range:min,datafile:NEG_NIST_2.mzML:intensity_range:max,datafile:NEG_NIST_2.mzML:asymmetry_factor,datafile:NEG_NIST_2.mzML:tailing_factor,datafile:NEG_NIST_2.mzML:height,datafile:NEG_NIST_2.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_0.mzML:rt,datafile:NEG_NIST_0.mzML:mz_range:min,datafile:NEG_NIST_0.mzML:mz_range:max,datafile:NEG_NIST_0.mzML:fragment_scans,datafile:NEG_NIST_0.mzML:fwhm,datafile:NEG_NIST_0.mzML:rt_range:min,datafile:NEG_NIST_0.mzML:rt_range:max,datafile:NEG_NIST_0.mzML:feature_state,datafile:NEG_NIST_0.mzML:mz,datafile:NEG_NIST_0.mzML:intensity_range:min,datafile:NEG_NIST_0.mzML:intensity_range:max,datafile:NEG_NIST_0.mzML:asymmetry_factor,datafile:NEG_NIST_0.mzML:tailing_factor,datafile:NEG_NIST_0.mzML:height,datafile:NEG_NIST_0.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_3.mzML:area,datafile:NEG_NIST_3.mzML:rt,datafile:NEG_NIST_3.mzML:mz_range:min,datafile:NEG_NIST_3.mzML:mz_range:max,datafile:NEG_NIST_3.mzML:fragment_scans,datafile:NEG_NIST_3.mzML:fwhm,datafile:NEG_NIST_3.mzML:rt_range:min,datafile:NEG_NIST_3.mzML:rt_range:max,datafile:NEG_NIST_3.mzML:feature_state,datafile:NEG_NIST_3.mzML:mz,datafile:NEG_NIST_3.mzML:intensity_range:min,datafile:NEG_NIST_3.mzML:intensity_range:max,datafile:NEG_NIST_3.mzML:asymmetry_factor,datafile:NEG_NIST_3.mzML:tailing_factor,datafile:NEG_NIST_3.mzML:height,datafile:NEG_NIST_3.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_1.mzML:rt,datafile:NEG_NIST_1.mzML:mz_range:min,datafile:NEG_NIST_1.mzML:mz_range:max,datafile:NEG_NIST_1.mzML:fragment_scans,datafile:NEG_NIST_1.mzML:fwhm,datafile:NEG_NIST_1.mzML:rt_range:min,datafile:NEG_NIST_1.mzML:rt_range:max,datafile:NEG_NIST_1.mzML:feature_state,datafile:NEG_NIST_1.mzML:mz,datafile:NEG_NIST_1.mzML:intensity_range:min,datafile:NEG_NIST_1.mzML:intensity_range:max,datafile:NEG_NIST_1.mzML:asymmetry_factor,datafile:NEG_NIST_1.mzML:tailing_factor,datafile:NEG_NIST_1.mzML:height,datafile:NEG_NIST_1.mzML:rt_ms2_apex_distance
1,0.083,0.007,0.303,214.83294,214.83246,214.83379,6.47E+04,7.68E+03,5.15E+03,6.47E+04,1,0.5,2,0,0.96,0.16,0.00003,0.006,,,,,,,,,,4.14E+03,0.077,214.83266,214.83325,,0.113,0.025,0.244,DETECTED,214.83298,5.15E+03,3.59E+04,3.153,2.077,3.59E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,7.68E+03,0.09,214.83246,214.83379,1,0.114,0.007,0.303,DETECTED,214.83291,5.76E+03,6.47E+04,2.376,1.684,6.47E+04,0.007
2,0.084,0.025,0.173,376.88586,376.88528,376.88635,3.63E+04,3.49E+03,1.05E+04,3.63E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.49E+03,0.084,376.88528,376.88635,,0.12,0.025,0.173,DETECTED,376.88586,1.05E+04,3.63E+04,1.512,1.256,3.63E+04,,,,,,,,,,UNKNOWN,,,,,,,
3,0.086,0.04,0.258,205.91898,205.91888,205.91916,3.75E+04,4.03E+03,5.48E+03,3.75E+04,0,0.75,3,0,0.96,0.15,0.00003,0.009,,,,,,,,,,3.42E+03,0.087,205.91867,205.91937,,0.129,0.04,0.258,DETECTED,205.919,5.58E+03,3.75E+04,3.366,2.308,3.75E+04,,,,,,,,,,UNKNOWN,,,,,,,,1.99E+03,0.072,205.91888,205.91916,,0.041,0.041,0.144,DETECTED,205.919,5.48E+03,3.58E+04,2.288,1.644,3.58E+04,,4.03E+03,0.097,205.91873,205.9191,,0.113,0.041,0.245,DETECTED,205.91893,6.43E+03,3.59E+04,2.608,1.804,3.59E+04,
4,0.086,0.025,0.309,223.7985,223.79808,223.79878,2.39E+05,2.21E+04,5.54E+03,2.39E+05,5,0.75,3,0,0.96,0.15,0.00003,0.007,,,,,,,,,,1.54E+04,0.077,223.79817,223.79878,2,0.064,0.04,0.269,DETECTED,223.79855,8.72E+03,1.76E+05,5.147,2.737,1.76E+05,-0.007,,,,,,,,,UNKNOWN,,,,,,,,1.18E+04,0.084,223.79808,223.79878,1,0.088,0.041,0.273,DETECTED,223.7985,5.54E+03,1.28E+05,3.345,2.59,1.28E+05,-0.013,2.21E+04,0.097,223.79814,223.79878,2,0.069,0.025,0.309,DETECTED,223.79845,6.21E+03,2.39E+05,2.738,1.806,2.39E+05,-0.033
5,0.086,0.04,0.288,225.79615,225.79604,225.79634,1.21E+05,1.17E+04,5.06E+03,1.21E+05,3,0.75,3,0,0.95,0.23,0.00005,0.007,,,,,,,,,,8.30E+03,0.077,225.79585,225.79648,1,0.235,0.04,0.258,DETECTED,225.79618,8.35E+03,1.05E+05,4.51,2.878,1.05E+05,0.007,,,,,,,,,UNKNOWN,,,,,,,,6.01E+03,0.084,225.79604,225.79634,1,0.064,0.041,0.229,DETECTED,225.79621,8.44E+03,6.70E+04,2.932,2.176,6.70E+04,0.007,1.17E+04,0.097,225.79567,225.79639,1,0.08,0.041,0.288,DETECTED,225.79608,5.06E+03,1.21E+05,3.132,2.002,1.21E+05,-0.019
6,0.087,0.007,0.282,212.83498,212.83463,212.83572,4.96E+04,6.86E+03,5.05E+03,4.96E+04,0,0.5,2,0,0.97,0.04,0.00001,0.01,,,,,,,,,,2.46E+03,0.077,212.83487,212.83511,,0.043,0.025,0.141,DETECTED,212.83499,7.43E+03,3.67E+04,1.2,1.1,3.67E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.86E+03,0.097,212.83463,212.83572,,0.158,0.007,0.282,DETECTED,212.83497,5.05E+03,4.96E+04,1.677,1.525,4.96E+04,
7,0.088,0.025,0.274,221.80072,221.80054,221.8008,1.74E+05,1.54E+04,5.28E+03,1.74E+05,3,0.75,3,0,0.97,0.09,0.00002,0.007,,,,,,,,,,1.18E+04,0.077,221.80048,221.80095,1,0.057,0.025,0.269,DETECTED,221.80074,5.61E+03,1.41E+05,4.132,2.159,1.41E+05,-0.003,,,,,,,,,UNKNOWN,,,,,,,,8.61E+03,0.096,221.80054,221.8008,1,0.075,0.025,0.248,DETECTED,221.80071,5.28E+03,9.59E+04,2.49,1.62,9.59E+04,-0.017,1.54E+04,0.09,221.80049,221.80081,1,0.078,0.041,0.274,DETECTED,221.80069,1.10E+04,1.74E+05,2.936,2.21,1.74E+05,-0.013
8,0.09,0.056,0.219,244.80691,244.80663,244.80721,3.22E+04,2.61E+03,5.60E+03,3.22E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.61E+03,0.09,244.80663,244.80721,,0.079,0.056,0.219,DETECTED,244.80691,5.60E+03,3.22E+04,3.882,2.441,3.22E+04,
9,0.091,0.025,0.147,203.92994,203.92979,203.93011,3.71E+04,2.69E+03,6.81E+03,3.71E+04,0,0.5,2,0,0.96,0.02,0,0.014,,,,,,,,,,1.53E+03,0.077,203.92987,203.93005,,0.061,0.04,0.106,DETECTED,203.92994,9.00E+03,3.71E+04,0.776,0.888,3.71E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.69E+03,0.105,203.92979,203.93011,,0.084,0.025,0.147,DETECTED,203.92995,6.81E+03,3.49E+04,0.522,0.761,3.49E+04,
10,0.095,0.007,0.4,258.91602,258.91577,258.91708,1.18E+05,2.11E+04,2.25E+04,1.18E+05,6,0.75,3,0,0.97,0.08,0.00002,0.009,,,,,,,,,,2.11E+04,0.106,258.91583,258.91626,2,0.182,0.007,0.354,DETECTED,258.91605,2.64E+04,1.18E+05,2.486,1.743,1.18E+05,-0.056,,,,,,,,,UNKNOWN,,,,,,,,2.11E+04,0.096,258.91577,258.91708,2,0.183,0.008,0.4,DETECTED,258.916,2.25E+04,1.09E+05,3.449,2.224,1.09E+05,-0.045,1.71E+04,0.082,258.9158,258.91678,2,0.158,0.007,0.288,DETECTED,258.916,2.67E+04,1.01E+05,2.77,1.885,1.01E+05,-0.015
