id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_2.mzML:rt,datafile:NEG_NIST_2.mzML:mz_range:min,datafile:NEG_NIST_2.mzML:mz_range:max,datafile:NEG_NIST_2.mzML:fragment_scans,datafile:NEG_NIST_2.mzML:fwhm,datafile:NEG_NIST_2.mzML:rt_range:min,datafile:NEG_NIST_2.mzML:rt_range:max,datafile:NEG_NIST_2.mzML:feature_state,datafile:NEG_NIST_2.mzML:mz,datafile:NEG_NIST_2.mzML:intensity_range:min,datafile:NEG_NIST_2.mzML:intensity_range:max,datafile:NEG_NIST_2.mzML:asymmetry_factor,datafile:NEG_NIST_2.mzML:tailing_factor,datafile:NEG_NIST_2.mzML:height,datafile:NEG_NIST_2.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_0.mzML:rt,datafile:NEG_NIST_0.mzML:mz_range:min,datafile:NEG_NIST_0.mzML:mz_range:max,datafile:NEG_NIST_0.mzML:fragment_scans,datafile:NEG_NIST_0.mzML:fwhm,datafile:NEG_NIST_0.mzML:rt_range:min,datafile:NEG_NIST_0.mzML:rt_range:max,datafile:NEG_NIST_0.mzML:feature_state,datafile:NEG_NIST_0.mzML:mz,datafile:NEG_NIST_0.mzML:intensity_range:min,datafile:NEG_NIST_0.mzML:intensity_range:max,datafile:NEG_NIST_0.mzML:asymmetry_factor,datafile:NEG_NIST_0.mzML:tailing_factor,datafile:NEG_NIST_0.mzML:height,datafile:NEG_NIST_0.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_1.mzML:rt,datafile:NEG_NIST_1.mzML:mz_range:min,datafile:NEG_NIST_1.mzML:mz_range:max,datafile:NEG_NIST_1.mzML:fragment_scans,datafile:NEG_NIST_1.mzML:fwhm,datafile:NEG_NIST_1.mzML:rt_range:min,datafile:NEG_NIST_1.mzML:rt_range:max,datafile:NEG_NIST_1.mzML:feature_state,datafile:NEG_NIST_1.mzML:mz,datafile:NEG_NIST_1.mzML:intensity_range:min,datafile:NEG_NIST_1.mzML:intensity_range:max,datafile:NEG_NIST_1.mzML:asymmetry_factor,datafile:NEG_NIST_1.mzML:tailing_factor,datafile:NEG_NIST_1.mzML:height,datafile:NEG_NIST_1.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_3.mzML:area,datafile:NEG_NIST_3.mzML:rt,datafile:NEG_NIST_3.mzML:mz_range:min,datafile:NEG_NIST_3.mzML:mz_range:max,datafile:NEG_NIST_3.mzML:fragment_scans,datafile:NEG_NIST_3.mzML:fwhm,datafile:NEG_NIST_3.mzML:rt_range:min,datafile:NEG_NIST_3.mzML:rt_range:max,datafile:NEG_NIST_3.mzML:feature_state,datafile:NEG_NIST_3.mzML:mz,datafile:NEG_NIST_3.mzML:intensity_range:min,datafile:NEG_NIST_3.mzML:intensity_range:max,datafile:NEG_NIST_3.mzML:asymmetry_factor,datafile:NEG_NIST_3.mzML:tailing_factor,datafile:NEG_NIST_3.mzML:height,datafile:NEG_NIST_3.mzML:rt_ms2_apex_distance
1,0.028,0.006,0.157,276.86771,276.86752,276.86795,2.82E+05,2.61E+04,4.31E+04,2.82E+05,1,0.5,2,0,0.96,0.15,0.00004,0.008,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.61E+04,0.036,276.86752,276.86795,1,0.127,0.006,0.157,DETECTED,276.86775,4.31E+04,2.82E+05,4.096,2.548,2.82E+05,0.057,9.60E+03,0.02,276.86743,276.86792,,0.088,0.006,0.111,DETECTED,276.86767,4.76E+04,1.37E+05,6.57,3.785,1.37E+05,
2,0.05,0.006,0.141,249.84835,249.84789,249.84865,1.74E+05,1.37E+04,3.96E+04,1.74E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.37E+04,0.05,249.84789,249.84865,,0.054,0.006,0.141,DETECTED,249.84835,3.96E+04,1.74E+05,2.106,1.553,1.74E+05,,,,,,,,,,UNKNOWN,,,,,,,
3,0.05,0.006,0.112,251.84559,251.84479,251.84619,1.30E+05,8.91E+03,3.37E+04,1.30E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,8.91E+03,0.05,251.84479,251.84619,,1.109,0.006,0.112,DETECTED,251.84559,3.37E+04,1.30E+05,1.427,1.214,1.30E+05,,,,,,,,,,UNKNOWN,,,,,,,
4,0.05,0.006,0.095,336.87903,336.87857,336.87946,2.31E+05,1.39E+04,5.13E+04,2.31E+05,0,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.39E+04,0.05,336.87857,336.87946,,0.106,0.006,0.095,DETECTED,336.87903,5.13E+04,2.31E+05,1.031,1.016,2.31E+05,
5,0.064,0.006,0.199,252.91501,252.91486,252.91534,1.77E+05,2.06E+04,4.37E+04,1.77E+05,1,0.25,1,0,1,0,0,0,,,,,,,,,,2.06E+04,0.064,252.91486,252.91534,1,0.1,0.006,0.199,DETECTED,252.91501,4.37E+04,1.77E+05,2.326,1.663,1.77E+05,0.052,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
6,0.065,0.006,0.186,248.89331,248.89323,248.89337,4.74E+06,5.36E+05,1.44E+06,4.74E+06,1,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,5.36E+05,0.065,248.89323,248.89337,1,0.275,0.006,0.186,DETECTED,248.89331,1.44E+06,4.74E+06,2.051,1.525,4.74E+06,0.191,,,,,,,,,UNKNOWN,,,,,,,
7,0.081,0.006,0.112,260.89731,260.89688,260.89761,1.42E+05,9.47E+03,5.49E+04,1.42E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,9.47E+03,0.081,260.89688,260.89761,,0.028,0.006,0.112,DETECTED,260.89731,5.49E+04,1.42E+05,0.415,0.708,1.42E+05,,,,,,,,,,UNKNOWN,,,,,,,
8,0.125,0.094,0.167,295.90786,295.9072,295.90842,4.18E+05,1.89E+04,1.31E+05,4.18E+05,1,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.89E+04,0.125,295.9072,295.90842,1,0.025,0.094,0.167,DETECTED,295.90786,1.31E+05,4.18E+05,1.35,1.175,4.18E+05,0.101,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
9,0.125,0.094,0.259,303.88658,303.8862,303.88696,4.31E+05,1.83E+04,3.85E+04,4.31E+05,1,0.5,2,1,0.97,0.2,0.00006,0,,,,,,,,,,9.53E+03,0.125,303.8862,303.88696,,0.058,0.11,0.259,DETECTED,303.88664,3.85E+04,1.21E+05,8.563,4.781,1.21E+05,,1.83E+04,0.125,303.88617,303.88666,1,0.036,0.094,0.167,DETECTED,303.88652,1.31E+05,4.31E+05,1.35,1.175,4.31E+05,0.066,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
10,0.126,0.095,0.185,336.87901,336.87866,336.87943,1.03E+05,6.94E+03,5.13E+04,1.03E+05,0,0.25,1,3,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.94E+03,0.126,336.87866,336.87943,,0.21,0.095,0.185,DETECTED,336.87901,5.13E+04,1.03E+05,1.843,1.422,1.03E+05,
