id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_3.mzML:rt,datafile:POS_NIST_3.mzML:mz_range:min,datafile:POS_NIST_3.mzML:mz_range:max,datafile:POS_NIST_3.mzML:fragment_scans,datafile:POS_NIST_3.mzML:fwhm,datafile:POS_NIST_3.mzML:rt_range:min,datafile:POS_NIST_3.mzML:rt_range:max,datafile:POS_NIST_3.mzML:feature_state,datafile:POS_NIST_3.mzML:mz,datafile:POS_NIST_3.mzML:intensity_range:min,datafile:POS_NIST_3.mzML:intensity_range:max,datafile:POS_NIST_3.mzML:asymmetry_factor,datafile:POS_NIST_3.mzML:tailing_factor,datafile:POS_NIST_3.mzML:height,datafile:POS_NIST_3.mzML:rt_ms2_apex_distance,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_2.mzML:rt,datafile:POS_NIST_2.mzML:mz_range:min,datafile:POS_NIST_2.mzML:mz_range:max,datafile:POS_NIST_2.mzML:fragment_scans,datafile:POS_NIST_2.mzML:fwhm,datafile:POS_NIST_2.mzML:rt_range:min,datafile:POS_NIST_2.mzML:rt_range:max,datafile:POS_NIST_2.mzML:feature_state,datafile:POS_NIST_2.mzML:mz,datafile:POS_NIST_2.mzML:intensity_range:min,datafile:POS_NIST_2.mzML:intensity_range:max,datafile:POS_NIST_2.mzML:asymmetry_factor,datafile:POS_NIST_2.mzML:tailing_factor,datafile:POS_NIST_2.mzML:height,datafile:POS_NIST_2.mzML:rt_ms2_apex_distance,datafile:POS_NIST_0.mzML:area,datafile:POS_NIST_0.mzML:rt,datafile:POS_NIST_0.mzML:mz_range:min,datafile:POS_NIST_0.mzML:mz_range:max,datafile:POS_NIST_0.mzML:fragment_scans,datafile:POS_NIST_0.mzML:fwhm,datafile:POS_NIST_0.mzML:rt_range:min,datafile:POS_NIST_0.mzML:rt_range:max,datafile:POS_NIST_0.mzML:feature_state,datafile:POS_NIST_0.mzML:mz,datafile:POS_NIST_0.mzML:intensity_range:min,datafile:POS_NIST_0.mzML:intensity_range:max,datafile:POS_NIST_0.mzML:asymmetry_factor,datafile:POS_NIST_0.mzML:tailing_factor,datafile:POS_NIST_0.mzML:height,datafile:POS_NIST_0.mzML:rt_ms2_apex_distance,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_1.mzML:rt,datafile:POS_NIST_1.mzML:mz_range:min,datafile:POS_NIST_1.mzML:mz_range:max,datafile:POS_NIST_1.mzML:fragment_scans,datafile:POS_NIST_1.mzML:fwhm,datafile:POS_NIST_1.mzML:rt_range:min,datafile:POS_NIST_1.mzML:rt_range:max,datafile:POS_NIST_1.mzML:feature_state,datafile:POS_NIST_1.mzML:mz,datafile:POS_NIST_1.mzML:intensity_range:min,datafile:POS_NIST_1.mzML:intensity_range:max,datafile:POS_NIST_1.mzML:asymmetry_factor,datafile:POS_NIST_1.mzML:tailing_factor,datafile:POS_NIST_1.mzML:height,datafile:POS_NIST_1.mzML:rt_ms2_apex_distance
1,0.161,0.13,0.192,511.82976,511.82941,511.83017,6.95E+04,3.56E+03,3.33E+04,6.95E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.56E+03,0.161,511.82941,511.83017,,0.229,0.13,0.192,DETECTED,511.82976,3.33E+04,6.95E+04,1.019,1.009,6.95E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
2,0.176,0.13,0.192,533.84258,533.84229,533.8429,8.20E+04,3.46E+03,3.68E+04,8.20E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.46E+03,0.176,533.84229,533.8429,,0.034,0.13,0.192,DETECTED,533.84258,3.68E+04,8.20E+04,0.343,0.671,8.20E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
3,0.925,0.909,0.972,295.28745,295.28738,295.28754,4.93E+06,2.27E+05,2.01E+06,4.93E+06,3,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.27E+05,0.925,295.28738,295.28754,3,0.05,0.909,0.972,DETECTED,295.28745,2.01E+06,4.93E+06,3.015,2.007,4.93E+06,-0.089,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
4,0.925,0.909,0.956,295.30475,295.30453,295.30481,3.72E+04,1.35E+03,1.36E+04,3.72E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.35E+03,0.925,295.30453,295.30481,,0.097,0.909,0.956,DETECTED,295.30475,1.36E+04,3.72E+04,2.014,1.507,3.72E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
5,0.925,0.909,0.972,297.28446,297.28439,297.28458,1.50E+06,7.12E+04,5.94E+05,1.50E+06,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,7.12E+04,0.925,297.28439,297.28458,,0.052,0.909,0.972,DETECTED,297.28446,5.94E+05,1.50E+06,3.015,2.007,1.50E+06,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
6,0.925,0.909,0.972,298.28781,298.28775,298.28796,2.87E+05,1.26E+04,1.04E+05,2.87E+05,2,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.26E+04,0.925,298.28775,298.28796,2,0.049,0.909,0.972,DETECTED,298.28781,1.04E+05,2.87E+05,3.015,2.007,2.87E+05,-0.114,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
7,0.932,0.909,1.002,297.2934,297.2933,297.29358,8.52E+04,3.71E+03,2.16E+04,8.52E+04,0,0.5,2,0,0.97,0.05,0.00001,0.008,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.50E+03,0.925,297.2933,297.29346,,0.055,0.909,0.972,DETECTED,297.29338,3.25E+04,7.66E+04,3.015,2.007,7.66E+04,,,,,,,,,,UNKNOWN,,,,,,,,3.71E+03,0.94,297.2933,297.29358,,0.042,0.924,1.002,DETECTED,297.29341,2.16E+04,8.52E+04,3.924,2.462,8.52E+04,
8,0.933,0.917,0.948,283.26919,283.26892,283.26962,3.47E+04,8.40E+02,1.87E+04,3.47E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,8.40E+02,0.933,283.26892,283.26962,,0.031,0.917,0.948,DETECTED,283.26919,1.87E+04,3.47E+04,1.001,1,3.47E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
9,0.933,0.917,0.948,295.27023,295.27011,295.27042,4.36E+04,1.04E+03,2.27E+04,4.36E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,1.04E+03,0.933,295.27011,295.27042,,0.031,0.917,0.948,DETECTED,295.27023,2.27E+04,4.36E+04,1.001,1,4.36E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
10,0.937,0.905,0.983,225.02956,225.02945,225.03006,3.26E+04,1.44E+03,1.01E+04,3.26E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.44E+03,0.937,225.02945,225.03006,,0.038,0.905,0.983,DETECTED,225.02956,1.01E+04,3.26E+04,1.484,1.242,3.26E+04,,,,,,,,,,UNKNOWN,,,,,,,
