id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_2.mzML:rt,datafile:POS_NIST_2.mzML:mz_range:min,datafile:POS_NIST_2.mzML:mz_range:max,datafile:POS_NIST_2.mzML:fragment_scans,datafile:POS_NIST_2.mzML:fwhm,datafile:POS_NIST_2.mzML:rt_range:min,datafile:POS_NIST_2.mzML:rt_range:max,datafile:POS_NIST_2.mzML:feature_state,datafile:POS_NIST_2.mzML:mz,datafile:POS_NIST_2.mzML:intensity_range:min,datafile:POS_NIST_2.mzML:intensity_range:max,datafile:POS_NIST_2.mzML:asymmetry_factor,datafile:POS_NIST_2.mzML:tailing_factor,datafile:POS_NIST_2.mzML:height,datafile:POS_NIST_2.mzML:rt_ms2_apex_distance,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_3.mzML:rt,datafile:POS_NIST_3.mzML:mz_range:min,datafile:POS_NIST_3.mzML:mz_range:max,datafile:POS_NIST_3.mzML:fragment_scans,datafile:POS_NIST_3.mzML:fwhm,datafile:POS_NIST_3.mzML:rt_range:min,datafile:POS_NIST_3.mzML:rt_range:max,datafile:POS_NIST_3.mzML:feature_state,datafile:POS_NIST_3.mzML:mz,datafile:POS_NIST_3.mzML:intensity_range:min,datafile:POS_NIST_3.mzML:intensity_range:max,datafile:POS_NIST_3.mzML:asymmetry_factor,datafile:POS_NIST_3.mzML:tailing_factor,datafile:POS_NIST_3.mzML:height,datafile:POS_NIST_3.mzML:rt_ms2_apex_distance,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_1.mzML:rt,datafile:POS_NIST_1.mzML:mz_range:min,datafile:POS_NIST_1.mzML:mz_range:max,datafile:POS_NIST_1.mzML:fragment_scans,datafile:POS_NIST_1.mzML:fwhm,datafile:POS_NIST_1.mzML:rt_range:min,datafile:POS_NIST_1.mzML:rt_range:max,datafile:POS_NIST_1.mzML:feature_state,datafile:POS_NIST_1.mzML:mz,datafile:POS_NIST_1.mzML:intensity_range:min,datafile:POS_NIST_1.mzML:intensity_range:max,datafile:POS_NIST_1.mzML:asymmetry_factor,datafile:POS_NIST_1.mzML:tailing_factor,datafile:POS_NIST_1.mzML:height,datafile:POS_NIST_1.mzML:rt_ms2_apex_distance,datafile:POS_NIST_0.mzML:area,datafile:POS_NIST_0.mzML:rt,datafile:POS_NIST_0.mzML:mz_range:min,datafile:POS_NIST_0.mzML:mz_range:max,datafile:POS_NIST_0.mzML:fragment_scans,datafile:POS_NIST_0.mzML:fwhm,datafile:POS_NIST_0.mzML:rt_range:min,datafile:POS_NIST_0.mzML:rt_range:max,datafile:POS_NIST_0.mzML:feature_state,datafile:POS_NIST_0.mzML:mz,datafile:POS_NIST_0.mzML:intensity_range:min,datafile:POS_NIST_0.mzML:intensity_range:max,datafile:POS_NIST_0.mzML:asymmetry_factor,datafile:POS_NIST_0.mzML:tailing_factor,datafile:POS_NIST_0.mzML:height,datafile:POS_NIST_0.mzML:rt_ms2_apex_distance
1,0.02,0.002,0.048,277.08829,277.08798,277.0885,4.62E+04,1.59E+03,2.63E+04,4.62E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.59E+03,0.02,277.08798,277.0885,,0.038,0.002,0.048,DETECTED,277.08829,2.63E+04,4.62E+04,1.629,1.315,4.62E+04,
2,0.204,0.173,0.25,228.08267,228.08221,228.08308,3.62E+04,1.95E+03,1.92E+04,3.62E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.95E+03,0.204,228.08221,228.08308,,0.075,0.173,0.25,DETECTED,228.08267,1.92E+04,3.62E+04,1.459,1.23,3.62E+04,,,,,,,,,,UNKNOWN,,,,,,,
3,0.209,0.096,0.294,227.06241,227.06219,227.06268,4.98E+04,6.08E+03,1.98E+04,4.98E+04,0,0.5,2,0,0.92,0.39,0.00009,0.01,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.08E+03,0.219,227.06219,227.06268,,0.157,0.096,0.294,DETECTED,227.0625,1.98E+04,4.98E+04,0.62,0.81,4.98E+04,,1.74E+03,0.199,227.062,227.06259,,0.035,0.184,0.245,DETECTED,227.06232,2.01E+04,3.97E+04,2.843,1.921,3.97E+04,
4,0.326,0.311,0.358,261.05123,261.05099,261.05148,3.57E+04,1.03E+03,1.35E+04,3.57E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.03E+03,0.326,261.05099,261.05148,,0.03,0.311,0.358,DETECTED,261.05123,1.35E+04,3.57E+04,2.004,1.502,3.57E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
5,0.401,0.341,0.463,226.03306,226.03271,226.03336,3.47E+04,2.66E+03,1.75E+04,3.47E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.66E+03,0.401,226.03271,226.03336,,0.1,0.341,0.463,DETECTED,226.03306,1.75E+04,3.47E+04,1.04,1.02,3.47E+04,,,,,,,,,,UNKNOWN,,,,,,,
6,0.443,0.325,0.56,209.05202,209.05202,209.05228,6.15E+04,6.57E+03,2.14E+04,6.15E+04,0,0.5,2,0,0.93,0.41,0.00008,0.003,,,,,,,,,,6.57E+03,0.447,209.05202,209.05228,,0.153,0.325,0.523,DETECTED,209.05211,2.59E+04,5.18E+04,0.623,0.811,5.18E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.96E+03,0.44,209.0518,209.05208,,0.03,0.424,0.56,DETECTED,209.05194,2.14E+04,6.15E+04,7.735,4.367,6.15E+04,
7,0.56,0.529,0.633,227.06241,227.06207,227.06268,3.92E+04,2.88E+03,1.87E+04,3.92E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.88E+03,0.56,227.06207,227.06268,,0.236,0.529,0.633,DETECTED,227.06241,1.87E+04,3.92E+04,2.388,1.694,3.92E+04,
8,0.591,0.575,0.605,205.06124,205.06108,205.06148,3.91E+04,8.55E+02,1.78E+04,3.91E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,8.55E+02,0.591,205.06108,205.06148,,0.03,0.575,0.605,DETECTED,205.06124,1.78E+04,3.91E+04,0.935,0.968,3.91E+04,
9,0.605,0.56,0.648,209.052,209.05188,209.05208,4.01E+04,2.58E+03,1.81E+04,4.01E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.58E+03,0.605,209.05188,209.05208,,0.144,0.56,0.648,DETECTED,209.052,1.81E+04,4.01E+04,0.954,0.977,4.01E+04,
10,0.637,0.589,0.652,408.34737,408.34647,408.3476,7.04E+04,2.20E+03,1.49E+04,7.04E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.20E+03,0.637,408.34647,408.3476,,0.186,0.589,0.652,DETECTED,408.34737,1.49E+04,7.04E+04,0.333,0.667,7.04E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
11,0.637,0.605,0.652,596.4874,596.48651,596.48889,5.64E+04,1.44E+03,1.31E+04,5.64E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.44E+03,0.637,596.48651,596.48889,,0.028,0.605,0.652,DETECTED,596.4874,1.31E+04,5.64E+04,0.502,0.751,5.64E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
12,0.652,0.605,0.666,295.04496,295.04459,295.04559,3.28E+04,1.48E+03,1.48E+04,3.28E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.48E+03,0.652,295.04459,295.04559,,0.055,0.605,0.666,DETECTED,295.04496,1.48E+04,3.28E+04,0.299,0.65,3.28E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
13,0.83,0.815,0.844,273.15238,273.15173,273.15268,4.10E+04,8.81E+02,1.75E+04,4.10E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,8.81E+02,0.83,273.15173,273.15268,,0.03,0.815,0.844,DETECTED,273.15238,1.75E+04,4.10E+04,0.936,0.968,4.10E+04,
14,0.919,0.904,0.95,216.98141,216.9812,216.98155,3.14E+04,1.09E+03,1.21E+04,3.14E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,1.09E+03,0.919,216.9812,216.98155,,0.046,0.904,0.95,DETECTED,216.98141,1.21E+04,3.14E+04,2.005,1.502,3.14E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
15,0.927,0.898,0.981,295.28757,295.28748,295.28763,8.68E+05,4.55E+04,2.31E+05,8.68E+05,3,0.75,3,0,0.98,0.07,0.00002,0.005,,,,,,,,,,3.21E+04,0.919,295.28748,295.28763,1,0.063,0.904,0.981,DETECTED,295.28755,2.48E+05,5.68E+05,3.959,2.48,5.68E+05,0.012,2.93E+04,0.927,295.28745,295.2876,1,0.05,0.898,0.973,DETECTED,295.28756,2.31E+05,6.08E+05,1.564,1.282,6.08E+05,0.011,4.55E+04,0.934,295.28754,295.28769,1,0.087,0.903,0.98,DETECTED,295.2876,4.31E+05,8.68E+05,1.477,1.238,8.68E+05,0.022,,,,,,,,,UNKNOWN,,,,,,,
16,0.927,0.882,1.009,296.29087,296.29071,296.29111,1.51E+05,1.02E+04,2.80E+04,1.51E+05,0,0.75,3,0,0.97,0.09,0.00003,0.005,,,,,,,,,,5.83E+03,0.919,296.29071,296.29111,,0.073,0.904,0.995,DETECTED,296.29087,4.07E+04,9.27E+04,4.855,2.927,9.27E+04,,5.91E+03,0.927,296.29065,296.29108,,0.081,0.882,0.989,DETECTED,296.29083,2.80E+04,1.02E+05,1.37,1.185,1.02E+05,,1.02E+04,0.934,296.29059,296.29123,,0.077,0.888,1.009,DETECTED,296.29091,6.07E+04,1.51E+05,1.61,1.305,1.51E+05,,,,,,,,,,UNKNOWN,,,,,,,
17,0.931,0.882,1.009,297.28481,297.28473,297.28503,2.99E+05,1.84E+04,5.26E+04,2.99E+05,0,0.5,2,0,0.97,0.14,0.00004,0.004,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,9.77E+03,0.927,297.28464,297.28485,,0.039,0.882,0.973,DETECTED,297.28477,5.26E+04,2.08E+05,1.025,1.013,2.08E+05,,1.84E+04,0.934,297.28473,297.28503,,0.05,0.903,1.009,DETECTED,297.28485,1.20E+05,2.99E+05,2.415,1.707,2.99E+05,,,,,,,,,,UNKNOWN,,,,,,,
18,0.939,0.919,1.01,358.20734,358.207,358.20782,1.02E+05,5.65E+03,3.48E+04,1.02E+05,0,0.5,2,0,0.97,0.12,0.00004,0.004,,,,,,,,,,5.65E+03,0.935,358.207,358.20782,,0.075,0.919,1.01,DETECTED,358.20739,3.83E+04,8.49E+04,4.843,2.921,8.49E+04,,4.61E+03,0.943,358.20694,358.20761,,0.063,0.927,0.989,DETECTED,358.2073,3.48E+04,1.02E+05,2.895,1.947,1.02E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
