spec_weight,score_threshold=0.00,score_threshold=0.10,score_threshold=0.20,score_threshold=0.30,score_threshold=0.40,score_threshold=0.50,score_threshold=0.60,score_threshold=0.70,score_threshold=0.80,score_threshold=0.90,score_threshold=1.00
0.0,2486,2485,2480,2472,2455,2402,2300,2097,1588,616.0,
0.1,2486,2485,2479,2468,2433,2356,2187,1770,771,4.0,
0.2,2486,2485,2479,2462,2405,2264,1948,1009,46,,
0.30000000000000004,2487,2486,2475,2442,2345,2105,1248,148,22,,
0.4,2487,2483,2469,2406,2212,1548,298,73,14,,
0.5,2487,2481,2456,2321,1837,480,154,50,13,1.0,
0.6000000000000001,2486,2479,2406,2070,728,254,113,42,14,3.0,
0.7000000000000001,2487,2469,2251,962,383,186,93,43,15,6.0,
0.8,2486,2409,1285,576,269,146,76,42,15,7.0,
0.9,2486,1583,782,388,217,125,73,44,21,8.0,
1.0,1841,1066,533,299,192,107,73,53,27,10.0,
