work_dir,rt_weight,precursor_mz_weight,spec_weight,spec_sim_type,feature_id,top1_score,top2_avg_score,top3_avg_score,top1_gap,top1_margin,top2_margin,top3_margin,H_norm
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10193,0.05327058569013128,,,,,,,
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10231,0.0001567067745781757,0.00010199267650513493,,0.00010942819614608151,,,,0.7810916430719492
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10325,0.007291846013293123,0.006836105637462303,0.006531173049279572,0.0009114807516616402,0.0017290715552240252,0.0013928423176748778,0.0013269320060554897,0.9954114421160697
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10448,0.03106667353858274,0.031044629977985915,0.029867935060032574,4.408712119365055e-05,0.003552128314456844,,0.0013269320060554897,0.9985673712586439
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10713,0.004594606828998156,0.004020280975373386,0.029867935060032574,0.001148651707249539,,,0.0013269320060554897,0.9852281360342515
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10743,0.012964337231171788,0.008585826739912806,0.006852569762918654,0.008757020982517964,0.00957828142224144,,0.0013269320060554897,0.8305759995587695
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10813,0.003810206001030244,0.0037046428583644856,0.0034189132717045226,0.00021112628533151694,0.0009627519026456483,,0.0013269320060554897,0.9931740451470032
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10937,0.0076313873243595695,0.007154425616587096,0.006748124902558693,0.0009539234155449463,0.0027043825279934345,0.002563593712932879,0.0023212512811778404,0.9869010417008705
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10951,0.03502056337079468,0.03497651234907809,0.03349366653569119,8.810204343317335e-05,0.004492588461877285,,0.0023212512811778404,0.9981872250317915
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N10978,0.008307830227780741,0.03497651234907809,0.03349366653569119,8.810204343317335e-05,0.004492588461877285,,0.0023212512811778404,0.9981872250317915
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N11103,0.016913303651352313,0.01492147478686168,0.03349366653569119,0.003983657728981266,,,0.0023212512811778404,0.9871079433749995
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N11463,0.011619815881518914,0.00739439686979878,0.03349366653569119,0.008450838023440268,,,0.0023212512811778404,0.7495889993666438
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N11510,0.008217941883218774,0.008217941883218774,0.03349366653569119,0.0,,,0.0023212512811778404,1.0
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N11520,0.02968156184808324,0.028695949291176567,0.02675813066624241,0.001971225113813351,0.021075080381347335,0.024848138474320058,0.026031962964989424,0.7769194271317786
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N11573,0.010937032246489793,0.009548733440866066,0.02675813066624241,0.0027765976112474524,,0.024848138474320058,0.026031962964989424,0.9846976084418235
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N11618,0.013286494867264942,0.008405552922725656,0.005622377846324608,0.009761883889078568,0.013230467173742431,,0.026031962964989424,0.4861349141313972
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N11812,0.026632757444025712,0.022610947435032946,0.021270344098702026,0.008043620017985531,0.014665815698168192,0.012851404249236314,0.01340446161025394,0.9395636705980654
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N11845,0.011261854881237512,0.009987935333400167,0.021270344098702026,0.00254783909567469,,0.012851404249236314,0.01340446161025394,0.9882331360752677
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N12489,0.009148276748737439,0.0072713662482883365,0.021270344098702026,0.0037538210008982043,,0.012851404249236314,0.01340446161025394,0.9513897829802735
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N12501,0.007102361320614188,0.0059454252634977165,0.021270344098702026,0.0023138721142329424,,0.012851404249236314,0.01340446161025394,0.9725101887100629
example/hyperparams_opt/Hela/spec_similarity_type_MassBank,0.0,0.0,1.0,MassBank,N12514,0.005411262820052478,0.005111855007943002,0.021270344098702026,0.0005988156242189516,,0.012851404249236314,0.01340446161025394,0.9975239333572615
