work_dir,rt_weight,precursor_mz_weight,spec_weight,spec_sim_type,feature_id,top1_score,top2_avg_score,top3_avg_score,top1_gap,top1_margin,top2_margin,top3_margin,H_norm
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10193,0.08272262717941556,,,,,,,
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10231,0.4191514162665345,0.212092918715569,,0.414116995101931,,,,0.09293963838143462
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10325,0.08932040052204987,0.08932040052204987,0.08336570715391321,0.0,0.01786408010440997,,,0.995232557322099
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10448,0.05518866238381234,0.05518866238381234,0.05256063084172604,0.0,0.007884094626258907,,,0.9976834773764093
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10713,0.0,0.05518866238381234,0.05256063084172604,0.0,0.007884094626258907,,,0.9976834773764093
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10743,0.2883879962553679,0.27377635023357305,0.2432692147429396,0.0292232920435897,0.10613305249369509,,,0.9839839409701997
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10813,0.6596768827863488,0.6154689773939332,0.542914963513801,0.08841581078483118,0.2618699470328123,,,0.9810744730450806
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10937,0.15219126544244993,0.15219126544244993,0.14091783837263883,0.0,0.05772195972339457,0.06568918589471497,0.05750511880875153,0.9804755237388552
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10951,0.07732309596258674,0.07410130029747897,0.06965215390280631,0.006443591330215562,0.016569234849125723,,0.05750511880875153,0.9955884389001026
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N10978,0.07686389006801589,0.07410130029747897,0.06965215390280631,0.006443591330215562,0.016569234849125723,,0.05750511880875153,0.9955884389001026
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N11103,0.15943032137018626,0.15809243297357622,0.06965215390280631,0.0026757767932200915,,,0.05750511880875153,0.9999483384615186
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N11463,0.2074711684764917,0.10443584058265917,0.06965215390280631,0.20607065578766504,,,0.05750511880875153,0.05805550414006752
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N11510,0.0032393029167206403,0.0032393029167206403,0.06965215390280631,0.0,,,0.05750511880875153,1.0
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N11520,0.1785389392325518,0.17421898706816924,0.16248209180708495,0.00863990432876513,0.08487717651098306,0.12590376290994812,,0.9358900426273138
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N11573,0.5962231564478759,0.3171222719286083,0.16248209180708495,0.5582017690385352,,0.12590376290994812,,0.327236557500349
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N11618,0.1880877268146911,0.18225009917597512,0.16573108681177082,0.01167525527743199,0.05539466473132895,,,0.9902639427619326
