feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,fragment_mz_delta,fragment_fatty_acid_pos,fragment_types,datafile:pos_hela_LG5.mzML:area,datafile:pos_hela_LG2.mzML:area,datafile:pos_hela_LG3.mzML:area,datafile:pos_hela_LG1.mzML:area,datafile:pos_hela_LG6.mzML:area,datafile:pos_hela_S2.mzML:area,datafile:pos_hela_HG2.mzML:area,datafile:pos_hela_LG4.mzML:area,datafile:pos_hela_HG1.mzML:area,datafile:pos_hela_HG4.mzML:area,datafile:pos_hela_HG5.mzML:area,datafile:pos_hela_HG3.mzML:area,datafile:pos_hela_S1.mzML:area,datafile:pos_hela_S3.mzML:area,datafile:pos_hela_HG6.mzML:area,datafile:pos_hela_S4.mzML:area,datafile:pos_hela_S6.mzML:area,datafile:pos_hela_S5.mzML:area
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.2450000000000001,0.8182349999999872,0.0031833842244629864,0.8182349999999872,All,All,0.0,0,substrate,0.0,0.0,0.0,0.0,0.0,649.4522928155926,0.0,0.0,2626.268656716418,3234.8367029549,2325.0,0.0,751.7622667588113,0.0,0.0,0.0,0.0,0.0
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(7),0.8760000000000003,0.797740000000033,0.003446401964850908,0.797740000000033,All,Some,0.0,0,substrate,0.0,0.0,0.0,0.0,0.0,4623.404094583366,9179.743223965763,0.0,7325.074626865672,9017.10730948678,5733.333333333334,10857.016574585637,3774.153420870767,4865.454545454545,7391.083916083915,4127.759197324414,0.0,7710.889994472085
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(6),0.30200000000000005,0.7920599999999638,0.00024399572943468688,0.7920599999999638,All,Some,0.0,0,substrate,0.0,0.0,0.0,0.0,0.0,9127.143612601043,19420.256776034235,0.0,16548.65671641791,13748.055987558322,6041.666666666667,15842.983425414364,6574.084312370422,7134.545454545454,12708.916083916085,9072.240802675586,0.0,10789.110005527917
1584,2.315,274.25803,274.05589,737.5867747270188,C23H44NO4,CCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(6),0.35599999999999987,0.7976999999999634,0.0,0.7976999999999634,All,Some,-124.27060000000002,10,aldehyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7160000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538,2.261,290.26871,290.05528999999996,735.7907521701877,C23H44NO4,CCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(6),0.24800000000000022,0.7864199999999641,0.00048799145886937377,0.7864199999999641,All,Some,-108.27120000000002,10,criegee,14900000000.0,0.0,12200000000.0,0.0,6270000000.0,414.5833333333333,0.0,47500000000.0,626.4150943396227,615.3846153846155,1978.723404255319,0.0,882.8828828828829,0.0,0.0,0.0,8680000000.0,0.0
1748,2.575,304.28439,304.08229,664.622724328908,C23H44NO4,CCCCCCCCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(7),0.8760000000000003,0.797740000000033,0.003446401964850908,0.797740000000033,All,Some,-94.24419999999999,9,criegee,40400000000.0,59100000000.0,44900000000.0,33400000000.0,43100000000.0,2951.388888888889,1573.4265734265734,69600000000.0,1747.169811320755,1715.3846153846152,4879.432624113476,2756.554307116105,4432.4324324324325,5575.0,3139.3034825870645,2833.333333333333,83100000000.0,4075.675675675676
2032,3.117,316.32088,316.13689,581.9947175414876,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.040000000000000036,0.8158500000000117,0.0035073820650942298,0.8158500000000117,All,All,-82.1896,7,aldehyde,16200000000.0,23900000000.0,20000000000.0,13800000000.0,18700000000.0,1284.7222222222222,744.7552447552448,24500000000.0,883.0188679245284,623.0769230769231,1269.5035460992908,925.0936329588014,1738.738738738739,1858.3333333333333,1263.681592039801,1378.7878787878788,23000000000.0,1313.5135135135135
1913,2.912,332.31551,332.13629,539.5977657245569,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.4500000000000002,0.8206199999999626,0.0028593863838317435,0.8206199999999626,All,All,-66.1902,7,criegee,49000000000.0,67600000000.0,75700000000.0,46600000000.0,60900000000.0,4541.666666666666,2583.916083916084,78100000000.0,3064.1509433962265,1992.3076923076924,3872.3404255319147,3097.378277153558,5981.981981981982,6316.666666666666,4134.328358208955,4848.484848484848,74500000000.0,4389.189189189189
1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(8,11,14,17)",0.6597142857142856,0.7416385714285606,0.0,0.7416385714285606,Some,Some,0.0,0,substrate,0.0,0.0,0.0,0.0,0.0,4565.379627889494,0.0,0.0,0.0,6582.5675020922345,0.0,3655.4810622551154,0.0,4068.2658218299766,0.0,3532.325285895807,0.0,10175.819325412882
1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(5,8,11,14)",0.40533333333333327,0.4621383333333616,0.00024727635465783695,0.4621383333333616,Some,Some,0.0,0,substrate,0.0,0.0,0.0,0.0,0.0,464.62037211050557,0.0,0.0,0.0,2227.432497907765,0.0,264.5189377448846,0.0,331.73417817002337,0.0,237.67471410419316,0.0,824.1806745871188
