feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:pos_hela_LG5.mzML:area,datafile:pos_hela_LG2.mzML:area,datafile:pos_hela_LG3.mzML:area,datafile:pos_hela_LG1.mzML:area,datafile:pos_hela_LG6.mzML:area,datafile:pos_hela_S2.mzML:area,datafile:pos_hela_HG2.mzML:area,datafile:pos_hela_LG4.mzML:area,datafile:pos_hela_HG1.mzML:area,datafile:pos_hela_HG4.mzML:area,datafile:pos_hela_HG5.mzML:area,datafile:pos_hela_HG3.mzML:area,datafile:pos_hela_S1.mzML:area,datafile:pos_hela_S3.mzML:area,datafile:pos_hela_HG6.mzML:area,datafile:pos_hela_S4.mzML:area,datafile:pos_hela_S6.mzML:area,datafile:pos_hela_S5.mzML:area
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(7),0.907,0.8113099999999918,0.001723200982425454,0.6685306401964801,All,Some,0.0,0.0,0.0,0.0,0.0,1403.5613870665418,2809.5717884130977,0.0,2746.3263727764884,2461.3265105294236,965.3935724266419,2265.3497409326424,1067.4893617021278,967.0637701471619,1758.9178356713428,1392.8528359528882,0.0,1500.6337135614701
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(6),0.653,0.7785299999999609,0.0,0.5977179999999764,All,None,0.0,0.0,0.0,0.0,0.0,5735.707591377694,10806.045340050376,0.0,9489.172467130702,11411.139539460735,7530.50768514206,12727.461139896372,4647.829787234044,5625.788367203925,8472.344689378759,5015.331430638743,0.0,8839.670468948036
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.45699999999999985,0.8181749999999965,0.0019852324168438723,0.5827020464833667,All,All,0.0,0.0,0.0,0.0,0.0,7260.731021555764,14984.382871536523,0.0,14264.501160092805,12127.533950009842,5604.098742431299,11707.189119170984,5384.68085106383,5407.147862648913,9868.7374749499,6791.815733408371,0.0,8159.695817490495
1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(8,11,14,17)",0.6597142857142856,0.7416385714285606,0.0,0.5769259999999934,Some,Some,0.0,0.0,0.0,0.0,0.0,4560.4734683025035,0.0,0.0,0.0,6582.5675020922345,0.0,3651.8918918918916,0.0,4063.5323820817875,0.0,3528.860571201904,0.0,10166.06498194946
1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(5,8,11,14)",0.453,0.4560750000000269,0.00024727635465783695,0.3642944552709477,Some,Some,0.0,0.0,0.0,0.0,0.0,469.5265316974969,0.0,0.0,0.0,2227.432497907765,0.0,268.10810810810807,0.0,336.46761791821274,0.0,241.13942879809602,0.0,833.9350180505417
2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(9),0.9539999999999997,0.7929000000000883,0.0008237037744469913,0.6667047407549423,All,All,317.0999060444723,0.0,0.0,412.85359801488835,0.0,3333.4798658663735,2887.05469141997,0.0,3346.241887905605,2942.662244195506,2356.3510392609705,2752.1869937514466,1867.6548438327154,2415.345504968801,2458.3386992916935,1877.4660109921897,2038.6360977892148,2517.6222900315806
2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(11),0.6019999999999999,0.8628600000000404,0.0,0.6381160000000241,All,Some,832.0701534606953,0.0,0.0,990.1488833746897,0.0,5558.317130216699,7315.052684395384,0.0,6219.893805309734,6466.73759309093,4836.720554272519,6625.109928257348,4412.334568554789,5683.938063323319,5439.9871216999345,5279.490888053226,4375.108199789449,6090.771116766826
2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(6),0.21099999999999985,0.7339350000000593,0.0,0.48256100000003554,All,None,6950.829940494833,0.0,0.0,8466.997518610422,0.0,44708.203003916926,60397.89262418465,0.0,55033.86430678466,53790.60016271356,46506.92840646651,51922.70307799121,37820.01058761249,48700.716431707886,48801.67417900837,41643.04310095459,37486.25570242133,51691.60659320159
3047,4.187,454.3887,454.38909,0.8582952553691952,C27H52NO4,CCCCCCC=CCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:1,CAR 20:1(13),0.7080000000000002,0.8517999999999688,0.0,0.6526799999999813,All,None,0.0,0.0,0.0,0.0,0.0,5530.0,9340.0,0.0,11200.0,0.0,0.0,0.0,0.0,6600.0,14500.0,4650.0,4450.0,6570.0
3047,4.187,454.3887,454.38909,0.8582952553691952,C27H52NO4,CCCCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:1,CAR 20:1(11),0.625999999999999,0.8404549999999631,0.0,0.6294729999999776,All,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
