feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:neg_hela_HG1.mzML:area,datafile:neg_hela_HG2.mzML:area,datafile:neg_hela_HG3.mzML:area,datafile:neg_hela_HG4.mzML:area,datafile:neg_hela_HG5.mzML:area,datafile:neg_hela_HG6.mzML:area,datafile:neg_hela_LG1.mzML:area,datafile:neg_hela_LG2.mzML:area,datafile:neg_hela_LG3.mzML:area,datafile:neg_hela_LG4.mzML:area,datafile:neg_hela_LG5.mzML:area,datafile:neg_hela_LG6.mzML:area,datafile:neg_hela_S1.mzML:area,datafile:neg_hela_S2.mzML:area,datafile:neg_hela_S3.mzML:area,datafile:neg_hela_S4.mzML:area,datafile:neg_hela_S5.mzML:area,datafile:neg_hela_S6.mzML:area
N1416,2.715,524.27758,524.27826,1.297021166,C27H44NO7P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 22:6,"LPE 22:6(4,7,10,13,16,19)",0.481666667,0.540661667,0.218445448,0.276989192,Some,Some,0,3630,,0,0,0,0,0,0,0,0,0,6070,20600,20500,12900,0,0
N1517,3.508,478.29347,478.29391,0.919936447,C23H46NO7P,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(9),0.666,0.90253,0,0.156853,Some,None,,,,,,,,,,,,,0,,,,,
N1555,3.652,478.29343,478.29391,1.003567033,C23H46NO7P,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(9),0.954,0.90249,0,0.185649,Some,None,,,0,,,,,,,,,,0,,42000,,,
N1555,3.652,478.29343,478.29391,1.003567033,C23H46NO7P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(11),0.302,0.97447,0,0.127647,Some,None,,,36800,,,,,,,,,,0,,0,,,
N1555,3.652,478.29343,478.29391,1.003567033,C23H46NO7P,CCCCCCCCCCCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(6),0.228,0.82788,0,0.105588,Some,None,,,0,,,,,,,,,,46300,,0,,,
N1595,3.799,478.2933,478.29391,1.275366437,C23H46NO7P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(11),0.182,0.98105,0.491605144,0.509589115,Some,Some,0,0,,,,,0,,0,,,,0,,,,0,
N1595,3.799,478.2933,478.29391,1.275366437,C23H46NO7P,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:1,LPE 18:1(9),0.365,0.94302,0,0.130802,All,None,0,0,,,,,31700,,0,,,,0,,,,0,
N1966,4.351,506.32458,506.32521,1.244259594,C25H50NO7P,CCCCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:1,LPE 20:1(11),0.827,0.50462,0.285408149,0.361488519,All,Some,,,0,0,,,,,,,,,,6340,0,,0,0
N2172,4.573,464.31421,464.31465,0.947633248,C23H48NO6P,CCCCCCCCC=CCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M-H]-,LPE O-18:1,LPE O-18:1(9),0.953,0.473905,0.154974887,0.26667041,All,Some,0,0,0,0,0,0,,0,0,0,0,0,0,2077.421769,0,0,1619.802718,2125.348837
N2172,4.573,464.31421,464.31465,0.947633248,C23H48NO6P,CCCCCCCCCCCC=CCCCCCOCC(O)COP(=O)(O)OCCN,[M-H]-,LPE O-18:1,LPE O-18:1(6),0.655,0.56436,0.154933625,0.2458829,All,Some,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,332.1437966,0
N2172,4.573,464.31421,464.31465,0.947633248,C23H48NO6P,CCCCCCC=CCCCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M-H]-,LPE O-18:1,LPE O-18:1(11),0.591,0.484385,0.157055191,0.233182653,All,Some,0,0,0,0,0,0,,0,0,0,0,0,0,4252.578231,0,0,3538.053485,4904.651163
