feature_id,rt,precursor_mz,primary_annotated_name,adduct,datafile:neg_hela_LG1.mzML:area,datafile:neg_hela_LG5.mzML:area,datafile:neg_hela_HG3.mzML:area,datafile:neg_hela_HG6.mzML:area,datafile:neg_hela_LG2.mzML:area,datafile:neg_hela_LG3.mzML:area,datafile:neg_hela_LG6.mzML:area,datafile:neg_hela_S4.mzML:area,datafile:neg_hela_LG4.mzML:area,datafile:neg_hela_HG1.mzML:area,datafile:neg_hela_HG5.mzML:area,datafile:neg_hela_HG2.mzML:area,datafile:neg_hela_S2.mzML:area,datafile:neg_hela_S1.mzML:area,datafile:neg_hela_HG4.mzML:area,datafile:neg_hela_S3.mzML:area,datafile:neg_hela_S6.mzML:area,datafile:neg_hela_S5.mzML:area,structure_annotated_name,fragment_mz_delta,fragment_fatty_acid_pos,fragment_types,score
1416,2.715,524.27758,LPE 22:6,[M-H]-,0.0,0.0,,0.0,0.0,0.0,0.0,12900.0,0.0,0.0,0.0,3630.0,20600.0,6070.0,0.0,20500.0,0.0,0.0,"LPE 22:6(4,7,10,13,16,19)",0.0,0,substrate,0.2769891920504332
1329,2.289,337.8867,LPE 22:6,,0.0,0.0,0.0,529000000.0,2080000000.0,0.0,822000000.0,54.8062015503876,944000000.0,764000000.0,512000000.0,0.0,53.883495145631066,0.0,211000000.0,54.146341463414636,1080000000.0,820000000.0,"LPE 22:6(4,7,10,13,16,19)",-186.34159999999991,6,aldehyde,0.7756221901464564
1402,2.622,377.96311,LPE 22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.3526170798898,0.0,0.0,0.0,0.0,0.0,0.0,"LPE 22:6(4,7,10,13,16,19)",-146.27659999999997,9,aldehyde,0.17761300000000022
1443,3.01,433.32774,LPE 22:6,,1010000000.0,0.0,0.0,0.0,1510000000.0,0.0,1230000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.73170731707317,0.0,232000000.0,"LPE 22:6(4,7,10,13,16,19)",-90.2122,12,criegee,0.0672360000000058
1308,2.236,457.29552,LPE 22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416000000.0,"LPE 22:6(4,7,10,13,16,19)",-66.1466,15,aldehyde,0.020654000000010254
1375,2.505,498.35453,LPE 22:6,,1800000000.0,1750000000.0,0.0,644000000.0,880000000.0,1360000000.0,877000000.0,186.8217054263566,5700000000.0,1310000000.0,1080000000.0,219.55922865013773,18.59223300970874,181.2191103789127,326000000.0,48.19512195121951,1130000000.0,921000000.0,"LPE 22:6(4,7,10,13,16,19)",-26.081599999999995,18,aldehyde,0.5249329621561267
1419,2.767,513.25815,LPE 22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182000000.0,0.0,"LPE 22:6(4,7,10,13,16,19)",-10.082199999999995,18,criegee,0.09587700000000005
1517,3.508,478.29347,LPE 18:1,[M-H]-,,,,,,,,,,,,,,0.0,,,,,LPE 18:1(9),0.0,0,substrate,0.15685300000000701
1562,3.675,368.14734,LPE 18:1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405000000.0,0.0,0.0,0.0,0.0,LPE 18:1(9),-110.24359999999999,9,aldehyde,0.15685300000000701
1555,3.652,478.29343,LPE 18:1,[M-H]-,,,0.0,,,,,,,,,,,0.0,,42000.0,,,LPE 18:1(9),0.0,0,substrate,0.18564900000000578
1555,3.652,478.29343,LPE 18:1,[M-H]-,,,36800.0,,,,,,,,,,,0.0,,0.0,,,LPE 18:1(11),0.0,0,substrate,0.12764699999999962
1555,3.652,478.29343,LPE 18:1,[M-H]-,,,0.0,,,,,,,,,,,46300.0,,0.0,,,LPE 18:1(6),0.0,0,substrate,0.105588000000005
1687,4.001,412.12876,LPE 18:1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.857142857142857,0.0,0.0,LPE 18:1(11),-66.1902,7,criegee,0.12764699999999962
1696,4.038,342.14035,LPE 18:1,,0.0,0.0,2.8260869565217392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LPE 18:1(6),-136.32519999999997,12,criegee,0.105588000000005
1562,3.675,368.14734,LPE 18:1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74730021598272,0.0,0.0,0.0,0.0,LPE 18:1(9),-110.24359999999999,9,aldehyde,0.18564900000000578
1595,3.799,478.2933,LPE 18:1,[M-H]-,0.0,,,,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,LPE 18:1(11),0.0,0,substrate,0.5095891154569059
1595,3.799,478.2933,LPE 18:1,[M-H]-,31700.0,,,,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,LPE 18:1(9),0.0,0,substrate,0.1308020000000018
1848,4.208,412.08415,LPE 18:1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6560000000.0,LPE 18:1(11),-66.1902,7,criegee,0.5095891154569059
1658,3.945,368.0508,LPE 18:1,,61.51419558359621,0.0,0.0,0.0,0.0,939000000.0,0.0,0.0,0.0,2160000000.0,0.0,1490000000.0,0.0,495000000.0,0.0,0.0,0.0,0.0,LPE 18:1(9),-110.24359999999999,9,aldehyde,0.1706900000000049
1915,4.288,384.16196,LPE 18:1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277000000.0,0.0,0.0,0.0,0.0,0.0,0.0,LPE 18:1(9),-94.24419999999999,9,criegee,0.09091399999999875
1966,4.351,506.32458,LPE 20:1,[M-H]-,,,0.0,,,,,,,,,,6340.0,,0.0,0.0,0.0,0.0,LPE 20:1(11),0.0,0,substrate,0.3614885193524373
1993,4.381,395.09399,LPE 20:1,,0.0,0.0,496000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5236593059937,0.0,243000000.0,853000000.0,571000000.0,850000000.0,LPE 20:1(11),-110.24359999999999,9,aldehyde,0.09530099999999511
1848,4.208,412.08415,LPE 20:1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6560000000.0,LPE 20:1(11),-94.24419999999999,9,criegee,0.6276760387048795
2172,4.573,464.31421,LPE O-18:1,[M-H]-,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2077.421769108374,0.0,0.0,0.0,2125.348837209302,1619.8027181060936,LPE O-18:1(9),0.0,0,substrate,0.2666704097740172
2172,4.573,464.31421,LPE O-18:1,[M-H]-,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.1437965804472,LPE O-18:1(6),0.0,0,substrate,0.24588289979734151
2172,4.573,464.31421,LPE O-18:1,[M-H]-,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4252.578230891627,0.0,0.0,0.0,4904.651162790697,3538.0534853134586,LPE O-18:1(11),0.0,0,substrate,0.23318265250510306
2193,4.596,381.15106,LPE O-18:1,,0.0,0.0,0.0,0.0,670000000.0,0.0,0.0,364000000.0,0.0,0.0,0.0,0.0,130.96366508688783,0.0,0.0,1050000000.0,0.0,198.54280510018214,LPE O-18:1(11),-82.1896,7,aldehyde,0.0980449999999955
1804,4.187,398.18169,LPE O-18:1,,0.0,1290000000.0,3080000000.0,2620000000.0,2370000000.0,0.0,956000000.0,5700000000.0,1420000000.0,3820000000.0,2550000000.0,5020000000.0,748.8151658767772,4870000000.0,2310000000.0,6060000000.0,665.7183499288763,1027.3224043715848,LPE O-18:1(11),-66.1902,7,criegee,0.3683203050102106
2140,4.548,312.10463,LPE O-18:1,,0.0,0.0,0.0,0.0,0.0,1240000000.0,1590000000.0,0.0,1720000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.36612021857925,LPE O-18:1(6),-152.32459999999998,12,aldehyde,0.18349800000000407
1895,4.253,327.23275,LPE O-18:1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LPE O-18:1(6),-136.32519999999997,12,criegee,0.308267799594679
2119,4.527,353.11991,LPE O-18:1,,0.0,5650000000.0,8810000000.0,6830000000.0,9480000000.0,6330000000.0,5600000000.0,12800000000.0,6640000000.0,0.0,6600000000.0,13200000000.0,1800.9478672985783,11400000000.0,8180000000.0,13300000000.0,1536.2731152204835,2677.5956284153003,LPE O-18:1(9),-110.24359999999999,9,aldehyde,0.34368981954802996
2169,4.572,370.1715,LPE O-18:1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348000000.0,0.0,733000000.0,0.0,0.0,0.0,0.0,616000000.0,0.0,0.0,0.0,LPE O-18:1(9),-94.24419999999999,9,criegee,0.1896510000000044
2250,4.686,865.50242,PG 22:6_22:6,[M-H]-,,,,,,,,0.0,,,0.0,0.0,0.0,13500.0,0.0,0.0,0.0,0.0,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",0.0,0,substrate,0.1787965000000078
2239,4.67,639.29343,PG 22:6_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-226.40659999999988,3,aldehyde,0.17703900000001732
2251,4.688,679.32386,PG 22:6_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335000000.0,630000000.0,28.296296296296298,0.0,453000000.0,0.0,0.0,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-186.34159999999991,6,aldehyde,0.18329600000000906
2240,4.673,719.3566,PG 22:6_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258000000.0,0.0,506000000.0,0.0,489000000.0,0.0,0.0,0.0,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-146.27659999999997,9,aldehyde,0.18432200000001553
2340,4.808,759.38737,PG 22:6_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669000000.0,0.0,0.0,625000000.0,0.0,561000000.0,59.851851851851855,0.0,0.0,644000000.0,0.0,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-106.21159999999999,12,aldehyde,0.16594500000000212
2329,4.798,799.41871,PG 22:6_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549000000.0,0.0,0.0,524000000.0,473000000.0,0.0,54.0,0.0,836000000.0,0.0,486000000.0,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-66.1466,15,aldehyde,0.17131099999999616
2231,4.655,839.45016,PG 22:6_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-26.081599999999995,18,aldehyde,0.1908660000000067
2344,4.809,865.50239,PG 22:6_22:6,[M-H]-,,,18400.0,26600.0,,,,62700.0,,,33500.0,46800.0,65400.0,52000.0,37400.0,67700.0,48300.0,60400.0,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",0.0,0,substrate,0.18729616666666768
2331,4.8,639.29366,PG 22:6_22:6,,0.0,0.0,0.0,59.02255639097744,0.0,0.0,0.0,26.794258373205743,0.0,0.0,48.656716417910445,22.22222222222222,24.770642201834864,32.88461538461539,51.60427807486631,18.61152141802068,27.95031055900621,24.00662251655629,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-226.40659999999988,3,aldehyde,0.17841300000000332
2338,4.803,679.32434,PG 22:6_22:6,,0.0,0.0,53.586956521739125,71.42857142857143,0.0,0.0,0.0,23.444976076555022,0.0,0.0,45.07462686567164,25.85470085470086,16.36085626911315,24.807692307692307,45.18716577540107,16.248153618906944,26.70807453416149,26.158940397350992,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-186.34159999999991,6,aldehyde,0.18244500000001268
2328,4.798,719.35632,PG 22:6_22:6,,0.0,0.0,35.108695652173914,35.37593984962406,0.0,0.0,0.0,21.371610845295056,0.0,0.0,26.298507462686565,13.461538461538462,12.691131498470948,16.865384615384617,28.07486631016043,16.100443131462335,20.476190476190474,20.86092715231788,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-146.27659999999997,9,aldehyde,0.18474699999999783
2340,4.808,759.38737,PG 22:6_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.669856459330143,0.0,0.0,18.65671641791045,0.0,8.577981651376147,15.538461538461537,0.0,0.0,13.333333333333334,0.0,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-106.21159999999999,12,aldehyde,0.19014199999999823
2329,4.798,799.41871,PG 22:6_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75598086124402,0.0,0.0,15.641791044776118,10.106837606837606,0.0,14.01923076923077,0.0,12.348596750369275,0.0,8.04635761589404,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-66.1466,15,aldehyde,0.19150799999999235
2339,4.806,839.44957,PG 22:6_22:6,,0.0,0.0,0.0,20.48872180451128,0.0,0.0,0.0,12.137161084529506,0.0,0.0,17.34328358208955,12.542735042735043,15.015290519877675,13.461538461538462,23.823529411764703,18.46381093057607,20.70393374741201,11.870860927152318,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",-26.081599999999995,18,aldehyde,0.19652200000000164
2361,4.872,717.47056,PG 16:1_16:1,[M-H]-,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,,,PG 16:1(9)_16:1(9),0.0,0,substrate,0.12808799999999146
2361,4.872,717.47056,PG 16:1_16:1,[M-H]-,,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,,,,PG 16:1(6)_16:1(9),0.0,0,substrate,0.11668333333332553
2423,5.0,635.35603,PG 16:1_16:1,,0.0,343000000.0,0.0,0.0,0.0,0.0,382000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG 16:1(6)_16:1(9),-82.1896,7,aldehyde,0.16689299999999035
2308,4.779,652.20153,PG 16:1_16:1,,0.0,0.0,238000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG 16:1(6)_16:1(9),-66.1902,7,criegee,0.08928299999999255
2649,5.348,593.30922,PG 16:1_16:1,,0.0,0.0,0.0,675000000.0,0.0,0.0,0.0,0.0,0.0,0.0,577000000.0,0.0,0.0,878000000.0,0.0,0.0,0.0,0.0,PG 16:1(6)_16:1(9),-124.27060000000002,10,aldehyde,0.09387399999999371
2423,5.0,635.35603,PG 16:1_16:1,,0.0,343000000.0,0.0,0.0,0.0,0.0,382000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG 16:1(9)_16:1(9),-82.1896,7,aldehyde,0.16689299999999035
2308,4.779,652.20153,PG 16:1_16:1,,0.0,0.0,238000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG 16:1(9)_16:1(9),-66.1902,7,criegee,0.08928299999999255
2372,4.9,791.4867,PG 16:1_22:6,[M-H]-,,7700.0,,0.0,6200.0,2732.7780259044216,2644.5710455764074,11200.0,4740.0,0.0,0.0,16400.0,,0.0,0.0,7530.456440521957,5605.14457378896,6063.377926421405,"PG 16:1(7)_22:6(4,7,10,13,16,19)",0.0,0,substrate,0.19789528400178186
2372,4.9,791.4867,PG 16:1_22:6,[M-H]-,,0.0,,0.0,0.0,1522.2219740955784,1735.3217158176944,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6630.765065785911,4289.71085242208,6063.377926421405,"PG 16:1(6)_22:6(4,7,10,13,16,19)",0.0,0,substrate,0.1717564746682479
2372,4.9,791.4867,PG 16:1_22:6,[M-H]-,,7700.0,,0.0,6200.0,4255.0,3270.107238605898,11200.0,4740.0,0.0,0.0,0.0,,0.0,0.0,10238.778493692134,5605.14457378896,8073.244147157191,"PG 16:1(9)_22:6(4,7,10,13,16,19)",0.0,0,substrate,0.17104214133491533
2330,4.799,604.3639,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,76.73202614379086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280000000.0,28.196721311475407,57.29032258064516,53.46534653465347,"PG 16:1(6)_22:6(4,7,10,13,16,19)",-186.34159999999991,3,aldehyde,0.24849983395538267
2304,4.767,644.48539,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"PG 16:1(6)_22:6(4,7,10,13,16,19)",-146.27659999999997,6,aldehyde,0.1009290000000041
2565,5.173,661.37146,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,50.588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"PG 16:1(6)_22:6(4,7,10,13,16,19)",-130.27719999999997,6,criegee,0.12920400000000926
2647,5.347,667.34644,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75609756097561,0.0,0.0,0.0,0.0,0.0,0.0,"PG 16:1(6)_22:6(4,7,10,13,16,19)",-124.27060000000002,9,aldehyde,0.09756599999999534
2163,4.564,564.24705,PG 16:1_22:6,,0.0,31.558441558441558,0.0,0.0,55.00000000000001,74.85311398354877,104.31372549019609,34.151785714285715,77.21518987341773,0.0,0.0,0.0,0.0,0.0,0.0,27.909836065573774,42.516129032258064,0.0,"PG 16:1(6)_22:6(4,7,10,13,16,19)",-226.40659999999988,10,aldehyde,0.04949499999998146
2554,5.163,580.3884,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.451612903225804,0.0,"PG 16:1(6)_22:6(4,7,10,13,16,19)",-210.40719999999988,10,criegee,0.07828999999998808
2024,4.407,725.39913,PG 16:1_22:6,,0.0,0.0,0.0,234000000.0,0.0,94.12455934195064,71.76470588235294,0.0,0.0,0.0,2560000000.0,0.0,0.0,0.0,848000000.0,84.01639344262296,0.0,58.91089108910891,"PG 16:1(6)_22:6(4,7,10,13,16,19)",-66.1466,15,aldehyde,0.09549699999999924
2030,4.413,765.46691,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220000000.0,0.0,0.0,0.0,0.0,81.55737704918032,0.0,65.34653465346535,"PG 16:1(6)_22:6(4,7,10,13,16,19)",-26.081599999999995,18,aldehyde,0.24357178217900377
2623,5.301,781.46685,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.926229508196721,0.0,0.0,"PG 16:1(6)_22:6(4,7,10,13,16,19)",-10.082199999999995,18,criegee,0.502755655879867
2330,4.799,604.3639,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,76.73202614379086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280000000.0,28.196721311475407,57.29032258064516,53.46534653465347,"PG 16:1(7)_22:6(4,7,10,13,16,19)",-186.34159999999991,3,aldehyde,0.24849983395538267
2304,4.767,644.48539,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"PG 16:1(7)_22:6(4,7,10,13,16,19)",-146.27659999999997,6,aldehyde,0.1009290000000041
2565,5.173,661.37146,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,50.588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"PG 16:1(7)_22:6(4,7,10,13,16,19)",-130.27719999999997,6,criegee,0.12920400000000926
2395,4.929,681.34095,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454000000.0,0.0,0.0,13.35483870967742,0.0,"PG 16:1(7)_22:6(4,7,10,13,16,19)",-110.24359999999999,9,aldehyde,0.1844150000000006
2554,5.163,580.3884,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.451612903225804,0.0,"PG 16:1(7)_22:6(4,7,10,13,16,19)",-210.40719999999988,9,criegee,0.07828999999998808
2024,4.407,725.39913,PG 16:1_22:6,,0.0,0.0,0.0,234000000.0,0.0,94.12455934195064,71.76470588235294,0.0,0.0,0.0,2560000000.0,0.0,0.0,0.0,848000000.0,84.01639344262296,0.0,58.91089108910891,"PG 16:1(7)_22:6(4,7,10,13,16,19)",-66.1466,15,aldehyde,0.09549699999999924
2030,4.413,765.46691,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220000000.0,0.0,0.0,0.0,0.0,81.55737704918032,0.0,65.34653465346535,"PG 16:1(7)_22:6(4,7,10,13,16,19)",-26.081599999999995,18,aldehyde,0.24357178217900377
2623,5.301,781.46685,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.926229508196721,0.0,0.0,"PG 16:1(7)_22:6(4,7,10,13,16,19)",-10.082199999999995,18,criegee,0.502755655879867
2330,4.799,604.3639,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,76.73202614379086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280000000.0,28.196721311475407,57.29032258064516,53.46534653465347,"PG 16:1(9)_22:6(4,7,10,13,16,19)",-186.34159999999991,3,aldehyde,0.24849983395538267
2304,4.767,644.48539,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"PG 16:1(9)_22:6(4,7,10,13,16,19)",-146.27659999999997,6,aldehyde,0.1009290000000041
2565,5.173,661.37146,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,50.588235294117645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"PG 16:1(9)_22:6(4,7,10,13,16,19)",-130.27719999999997,6,criegee,0.12920400000000926
2163,4.564,564.24705,PG 16:1_22:6,,0.0,31.558441558441558,0.0,0.0,55.00000000000001,74.85311398354877,104.31372549019609,34.151785714285715,77.21518987341773,0.0,0.0,0.0,0.0,0.0,0.0,27.909836065573774,42.516129032258064,0.0,"PG 16:1(9)_22:6(4,7,10,13,16,19)",-226.40659999999988,7,aldehyde,0.04949499999998146
2554,5.163,580.3884,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.451612903225804,0.0,"PG 16:1(9)_22:6(4,7,10,13,16,19)",-210.40719999999988,7,criegee,0.07828999999998808
2024,4.407,725.39913,PG 16:1_22:6,,0.0,0.0,0.0,234000000.0,0.0,94.12455934195064,71.76470588235294,0.0,0.0,0.0,2560000000.0,0.0,0.0,0.0,848000000.0,84.01639344262296,0.0,58.91089108910891,"PG 16:1(9)_22:6(4,7,10,13,16,19)",-66.1902,12,criegee,0.09113700000000229
2024,4.407,725.39913,PG 16:1_22:6,,0.0,0.0,0.0,234000000.0,0.0,94.12455934195064,71.76470588235294,0.0,0.0,0.0,2560000000.0,0.0,0.0,0.0,848000000.0,84.01639344262296,0.0,58.91089108910891,"PG 16:1(9)_22:6(4,7,10,13,16,19)",-66.1466,15,aldehyde,0.09549699999999924
2030,4.413,765.46691,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220000000.0,0.0,0.0,0.0,0.0,81.55737704918032,0.0,65.34653465346535,"PG 16:1(9)_22:6(4,7,10,13,16,19)",-26.081599999999995,18,aldehyde,0.24357178217900377
2623,5.301,781.46685,PG 16:1_22:6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.926229508196721,0.0,0.0,"PG 16:1(9)_22:6(4,7,10,13,16,19)",-10.082199999999995,18,criegee,0.502755655879867
2373,4.902,691.45454,PG 14:0_16:1,[M-H]-,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,PG 14:0_16:1(7),0.0,0,substrate,0.09527150000000378
2554,5.163,580.3884,PG 14:0_16:1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379000000.0,0.0,PG 14:0_16:1(7),-110.24359999999999,9,aldehyde,0.06554600000001098
2574,5.188,597.38837,PG 14:0_16:1,,0.0,0.0,907000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674000000.0,794000000.0,0.0,0.0,0.0,0.0,0.0,0.0,PG 14:0_16:1(7),-94.24419999999999,9,criegee,0.12499699999999657
2420,4.99,717.47084,PG 16:1_16:1,[M-H]-,,,,0.0,,,,,,,0.0,,0.0,0.0,,,,,PG 16:1(6)_16:1(6),0.0,0,substrate,0.11750199999999131
2420,4.99,717.47084,PG 16:1_16:1,[M-H]-,,,,0.0,,,,,,,0.0,,3430.0,0.0,,,,,PG 16:1(6)_16:1(7),0.0,0,substrate,0.11337099999999288
2420,4.99,717.47084,PG 16:1_16:1,[M-H]-,,,,0.0,,,,,,,0.0,,3430.0,0.0,,,,,PG 16:1(7)_16:1(7),0.0,0,substrate,0.10923999999999445
