id,rt,mz,compound_name,adduct,cosine_score,mol_formula,smiles,datafile:pos_hela_LG5_O3.mzML:area,datafile:pos_hela_LG2_O3.mzML:area,datafile:pos_hela_LG3_O3.mzML:area,datafile:pos_hela_LG1_O3.mzML:area,datafile:pos_hela_LG6_O3.mzML:area,datafile:pos_hela_S2_O3.mzML:area,datafile:pos_hela_HG2_O3.mzML:area,datafile:pos_hela_LG4_O3.mzML:area,datafile:pos_hela_HG1_O3.mzML:area,datafile:pos_hela_HG4_O3.mzML:area,datafile:pos_hela_HG5_O3.mzML:area,datafile:pos_hela_HG3_O3.mzML:area,datafile:pos_hela_S1_O3.mzML:area,datafile:pos_hela_S3_O3.mzML:area,datafile:pos_hela_HG6_O3.mzML:area,datafile:pos_hela_S4_O3.mzML:area,datafile:pos_hela_S6_O3.mzML:area,datafile:pos_hela_S5_O3.mzML:area,chain_shorthand,db_shorthand,lipid_name,name,score
5369,6.258,702.50621,PC 15:1_15:1,[M+H]+,0.99,C38H72NO8P,CCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCC,25180.0,0.0,34300.0,15470.0,26240.0,17580.0,21080.0,25730.0,27190.0,12640.0,5872.0,0.0,11230.0,19610.0,0.0,17410.0,14020.0,13210.0,PC(15:1_15:1),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),0.5495000000000001
5457,6.345,702.50653,PC 15:1_15:1,[M+H]+,0.99,C38H72NO8P,CCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31740.0,0.0,0.0,0.0,0.0,14600.0,0.0,0.0,0.0,0.0,0.0,PC(15:1_15:1),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),0.5198333333333337
5681,6.518,702.50613,PC 15:1_15:1,[M+H]+,0.99,C38H72NO8P,CCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCC,72590.0,43850.0,0.0,30160.0,87110.0,45810.0,44600.0,33350.0,37040.0,32820.0,9547.0,0.0,25660.0,29750.0,14960.0,36710.0,34950.0,39260.0,PC(15:1_15:1),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),0.4703333333333335
5763,6.565,778.53735,PC 18:3_18:3,[M+H]+,0.97,C44H76NO8P,CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,95940.0,114800.0,103800.0,89950.0,96110.0,121700.0,145700.0,85250.0,163100.0,138400.0,124700.0,139800.0,129100.0,128600.0,110300.0,109100.0,100600.0,104200.0,PC(18:3_18:3),"PC(18:3(9,12,15)_18:3(6,9,12))","PC(18:3(9,12,15)_18:3(6,9,12))","PC(18:3(6,9,12)_18:3(6,9,12))",0.49314285714285727
5867,6.664,702.5045,PC 15:1_15:1,[M+H]+,0.99,C38H72NO8P,CCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCC,0.0,0.0,0.0,4141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PC(15:1_15:1),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),0.5279999999999997
5905,6.701,710.47532,PE 14:0_20:5,[M+H]+,0.94,C39H68NO8P,CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,5742.0,5971.0,8348.0,7172.0,8053.0,18530.0,18110.0,7916.0,21140.0,14460.0,11370.0,17030.0,17950.0,15770.0,10150.0,17610.0,13240.0,15350.0,PE(14:0_20:5),"PE(14:0_20:5(5,8,11,14,17))","PE(14:0_20:5(5,8,11,14,17))","PE(14:0_20:5(5,8,11,14,17))",0.34231818181818174
5922,6.724,754.53723,PC 17:2_17:2,[M+H]+,0.97,C42H76NO8P,CCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCC,38110.0,46900.0,46610.0,30870.0,39300.0,0.0,0.0,32990.0,0.0,0.0,0.0,0.0,21530.0,0.0,0.0,0.0,0.0,0.0,PC(17:2_17:2),"PC(17:2(9,12)_17:2(9,12))","PC(17:2(9,12)_17:2(9,12))","PC(17:2(9,12)_17:2(9,12))",0.8704000000000006
6051,6.776,702.50538,PC 15:1_15:1,[M+H]+,0.97,C38H72NO8P,CCCCC\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCC,12630.0,5692.0,8407.0,4973.0,10880.0,34740.0,36320.0,0.0,33830.0,32750.0,23060.0,29200.0,33820.0,34130.0,28110.0,30890.0,25450.0,29270.0,PC(15:1_15:1),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),PC(15:1(9)_15:1(9)),0.6168333333333332
6145,6.837,736.49076,PE 14:0_22:6,[M+H]+,0.94,C41H70NO8P,CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,80420.0,63610.0,80930.0,70120.0,81750.0,81180.0,86880.0,73030.0,100100.0,80360.0,59160.0,93880.0,83810.0,78060.0,43520.0,71880.0,72960.0,75980.0,PE(14:0_22:6),"PE(14:0_22:6(4,7,10,13,16,19))","PE(14:0_22:6(4,7,10,13,16,19))","PE(14:0_22:6(4,7,10,13,16,19))",0.5578846153846151
6171,6.848,778.53734,PC 18:3_18:3,[M+H]+,0.97,C44H76NO8P,CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,60260.0,69890.0,58600.0,59620.0,65180.0,278500.0,354000.0,68930.0,362800.0,322800.0,259700.0,293200.0,305700.0,292900.0,262300.0,270100.0,244700.0,272100.0,PC(18:3_18:3),"PC(18:3(9,12,15)_18:3(6,9,12))","PC(18:3(9,12,15)_18:3(6,9,12))","PC(18:3(9,12,15)_18:3(6,9,12))",0.6695384615384612
6196,6.891,754.53597,PC 17:2_17:2,[M+H]+,0.97,C42H76NO8P,CCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCC,63200.0,55620.0,73900.0,56890.0,62650.0,0.0,0.0,64370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PC(17:2_17:2),"PC(17:2(9,12)_17:2(9,12))","PC(17:2(9,12)_17:2(9,12))","PC(17:2(9,12)_17:2(9,12))",0.9654000000000001
