feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:neg_FRN1.mzML:area,datafile:neg_FRN2.mzML:area,datafile:neg_FRN3.mzML:area,datafile:neg_FRN4.mzML:area,datafile:neg_FRN5.mzML:area,datafile:neg_HFO1.mzML:area,datafile:neg_HFO2.mzML:area,datafile:neg_HFO3.mzML:area,datafile:neg_HFO4.mzML:area,datafile:neg_HFO5.mzML:area
N1235,1.631,619.28861,619.28889,0.452131476,C29H49O12P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,LPI 20:4,"LPI 20:4(8,11,14,17)",0.5724,0.735264,0.323461582,0.389535666,Some,Some,0,0,0,0,0,3159.222446,0,0,0,0
N1235,1.631,619.28861,619.28889,0.452131476,C29H49O12P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,LPI 20:4,"LPI 20:4(5,8,11,14)",0.680571429,0.240577143,0.22537583,0.272415521,Some,Some,0,0,0,0,0,2900.777554,0,0,0,0
N1319,1.868,507.27242,507.27284,0.827956805,C24H45O9P,CCCCCCCCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:2,"LPG 18:2(6,9)",0.99,0.87966,0,0.186966,Some,None,,,0,,0,,16600,,,0
N1319,1.868,507.27242,507.27284,0.827956805,C24H45O9P,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:2,"LPG 18:2(9,12)",0.93,0.13369,0,0.106369,Some,None,,,0,,9270,,0,,,16800
N1337,1.873,498.2624,498.26261,0.421464496,C25H42NO7P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:5,"LPE 20:5(5,8,11,14,17)",0.847333333,0.83725,0,0.168458333,Some,None,,,,,,33300,,0,21300,
N1334,1.873,509.28835,509.28849,0.274893313,C24H47O9P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:1,LPG 18:1(11),0.403,0.612185,0.078638861,0.164429589,All,Some,0,0,,0,0,9590,0,0,11600,0
N1364,1.905,474.26282,474.26261,0.442792654,C23H42NO7P,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:3,"LPE 18:3(9,12,15)",0.742,0.926125,0.04072198,0.199390084,Some,Some,0,0,0,0,0,8500,0,4545.425139,0,0
N1364,1.905,474.26282,474.26261,0.442792654,C23H42NO7P,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:3,"LPE 18:3(6,9,12)",0.647333333,0.401193333,0,0.104852667,Some,Some,0,0,0,0,0,0,0,1344.574861,0,0
N1425,2.147,568.26774,568.26809,0.615906482,C28H44NO9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,LPS 22:6,"LPS 22:6(4,7,10,13,16,19)",0.4802,0.398567,0.102894025,0.17019192,Some,Some,0,0,0,0,0,0,0,10200,0,5160
N1522,2.318,507.2724,507.27284,0.86738332,C24H45O9P,CCCCCCCCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:2,"LPG 18:2(6,9)",0.385333333,0.377403333,0,0.076273667,Some,None,,,0,,,5720,0,,,
