feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:pos_FRN1.mzML:area,datafile:pos_FRN2.mzML:area,datafile:pos_FRN3.mzML:area,datafile:pos_FRN4.mzML:area,datafile:pos_FRN5.mzML:area,datafile:pos_HFO1.mzML:area,datafile:pos_HFO2.mzML:area,datafile:pos_HFO3.mzML:area,datafile:pos_HFO4.mzML:area,datafile:pos_HFO5.mzML:area
P1086,2.457,540.30686,540.30606,1.480642286,C26H48NO7P,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 18:3,"LPC 18:3(9,12,15)",0.196,0.769534,0.032201434,0.122314547,Some,Some,893.3701657,874.7960177,620.4473518,0,710.196737,1962.251122,1923.291592,1844.413023,1096.267873,1585.707465
P1086,2.457,540.30686,540.30606,1.480642286,C26H48NO7P,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 18:3,"LPC 18:3(6,9,12)",0.314,0.5448525,0.025011695,0.105894606,Some,Some,4496.629834,6165.203982,3009.552648,0,3429.803263,13537.74888,13176.70841,9455.586977,6933.732127,8134.292535
P1156,2.587,516.30625,516.30606,0.36799878,C24H48NO7P,CCCCCCCCC=CCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 16:1,LPC 16:1(7),0.916,0.86839,0.028870681,0.201535545,Some,Some,3724.384425,4198.040712,3118.276713,2218.525766,2282.846793,0,2434.366197,2550,0,2177.099768
P1156,2.587,516.30625,516.30606,0.36799878,C24H48NO7P,CCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 16:1,LPC 16:1(9),0.463,0.925595,0.030881785,0.163564928,All,Some,5205.615575,5421.959288,4151.723287,3151.474234,3197.153207,0,2035.633803,2040,0,1942.900232
P1157,2.588,540.30629,540.30606,0.425684657,C26H48NO7P,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 18:3,"LPC 18:3(9,12,15)",0.458,0.769192,0.033074759,0.149179007,Some,Some,0,0,0,0,0,339.2795489,0,0,0,0
P1157,2.588,540.30629,540.30606,0.425684657,C26H48NO7P,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 18:3,"LPC 18:3(6,9,12)",0.435,0.5448525,0.027531302,0.120010291,Some,Some,0,0,0,0,0,2340.720451,0,0,0,0
P1187,2.622,592.32804,592.33736,15.73427683,C30H52NO7P,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 22:5,"LPC 22:5(7,10,13,16,19)",0.781555556,0.685236667,0.546928127,0.584221724,Some,Some,4599.67345,6494.427455,5251.117286,0,4618.231922,0,8823.239131,0,0,8643.343653
P1187,2.622,592.32804,592.33736,15.73427683,C30H52NO7P,CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 22:5,"LPC 22:5(4,7,10,13,16)",0.852666667,0.850731667,0,0.170339833,All,None,1940.32655,2665.572545,2438.882714,0,1971.768078,0,4176.760869,0,0,4256.656347
P1217,2.628,590.32151,590.32171,0.338798314,C30H50NO7P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 22:6,"LPC 22:6(4,7,10,13,16,19)",0.880444444,0.84989,0.007557568,0.179079499,All,Some,107000,166000,128000,98100,101000,381000,260000,239000,196000,233000
P1267,2.684,398.32651,398.32649,0.050210068,C23H44NO4,CCCCCCCCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(7),0.851,0.79574,0.007015734,0.170286587,All,All,9429.485655,0,9884.742286,0,0,0,0,0,0,0
P1267,2.684,398.32651,398.32649,0.050210068,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.56,0.459765,0.002554671,0.104020236,All,Some,230.5143449,0,215.2577136,0,0,0,0,0,0,0
P1298,2.733,526.29269,526.29282,0.24701078,C27H44NO7P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCCN,[M+H]+,LPE 22:6,"LPE 22:6(4,7,10,13,16,19)",0.919555556,0.801175556,0.001218844,0.173048186,All,Some,1040000,1750000,1140000,956000,930000,3340000,2160000,1780000,1740000,1770000
