name,datafile:pos_FRN1_O3.mzML:area,datafile:pos_FRN2_O3.mzML:area,datafile:pos_FRN3_O3.mzML:area,datafile:pos_FRN4_O3.mzML:area,datafile:pos_FRN5_O3.mzML:area,datafile:pos_HFO1_O3.mzML:area,datafile:pos_HFO2_O3.mzML:area,datafile:pos_HFO3_O3.mzML:area,datafile:pos_HFO4_O3.mzML:area,datafile:pos_HFO5_O3.mzML:area
group,HFD+Fru,HFD+Fru,HFD+Fru,HFD+Fru,HFD+Fru,HFD,HFD,HFD,HFD,HFD
"CL(18:1(9)_18:2(9,12)_18:1(9)_18:2(9,12))",344900,384700,520000,374400,495500,553000,641700,400500,318800,354300
"CL(18:1(9)_18:2(9,12)_18:2(9,12)_18:2(9,12))",837400,896300,1011000,820300,991300,941100,1042000,1352000,857600,892300
"CL(18:2(9,12)_18:2(9,12)_18:2(9,12)_18:2(9,12))",992700,1025000,1220000,644200,775500,894100,1658000,1694000,1284000,1578000
"CL(18:2(9,12)_18:2(9,12)_18:2(9,12)_20:4(5,8,11,14))",30020,62243,34890,71110,30448,39990,71675,77130,58210,51720
Cer(d18:1(4)_16:0(2OH)),1517092,2593790,1767750,1820170,1719530,4166335,2869460,2806920,2690710,2807330
Cer(d18:1(4)_18:0(2OH)),324900,537800,364800,357600,386200,1054871,657300,698900,618777,723792
Cer(d18:1(4)_20:0(3OH)),668900,926200,668600,675800,689000,1760200,1203550,1630580,1203880,1423000
Cer(d18:1(4)_22:0(3OH)),4580000,5430000,4392000,4887000,5630000,8841000,6306000,8713000,5958000,7313500
Cer(d18:1(4)_24:0(3OH)),2452500,2915300,2401900,2645900,3337200,4458800,3246100,3788500,2906900,3293800
"Cer(d18:2(4,8)_18:0(2OH))",48834,78259,46363,42004,50175,121400,96090,91010,102110,110930
"Cer(d18:2(4,8)_20:0(2OH))",101200,143500,89850,76180,88760,0,158400,169900,200000,198000
DG(14:0_16:1(9)),22620,19410,18680,20770,12010,0,10200,0,0,0
"DG(14:0_18:2(9,12))",115534,134500,96700,117963,78990,158319,146484,132500,154600,139281
"DG(14:0_20:4(5,8,11,14))",21380,14360,17810,20530,0,0,37900,31910,41410,24700
DG(16:0_16:1(9)),197463,246800,210600,221700,130700,189500,164600,170600,195000,178500
DG(16:0_18:1(11)),1662500,2026880,1839893,2016400,1293900,2115000,2241200,2194735,2402300,2168558
"DG(16:0_18:2(9,12))",1796000,2077000,1775000,2004000,1311424,3633000,3507230,3224000,3508000,3189000
"DG(16:0_18:3(9,12,15))",21360,20300,19160,24883,12460,65760,70530,57170,67434,52750
"DG(16:0_22:4(7,10,13,16))",61700,70440,61630,73380,42030,58010,83060,68680,88980,83230
"DG(16:0_22:5(7,10,13,16,19))",459200,518600,395800,431100,318728,977800,895700,843100,999200,903900
DG(16:1(9)_18:1(9)),20130,23590,0,20410,12250,0,30220,45570,0,0
"DG(16:1(9)_18:2(9,12))",242900,251200,200800,218200,135500,397900,378000,318200,399900,362900
DG(18:0_18:1(9)),431300,565700,486700,507000,361900,491100,457170,439100,220100,253260
"DG(18:0_18:2(9,12))",265411,309420,250700,289290,206800,0,468580,417100,498327,461770
"DG(18:0_20:3(8,11,14))",123970,148180,109890,113510,95620,170610,146330,140920,169340,149512
"DG(18:0_22:4(7,10,13,16))",34310,37900,27470,29680,19392,29630,30450,28550,38060,28503
"DG(18:0_22:5(7,10,13,16,19))",19850,21650,17170,15570,14250,29880,26980,25100,29800,25720
DG(18:1(9)_18:1(9)),2487000,3158000,2700000,2965000,1945000,2912000,2480000,2449000,2718000,2599000
"DG(18:1(9)_18:2(9,12))",2793464,3184380,2601800,2895982,2192300,5181750,4879300,4431200,5030200,4846600
"DG(18:1(9)_18:3(9,12,15))",94610,106100,98430,105000,72090,0,281400,229700,261400,219200
DG(18:1(9)_20:1(11)),199850,271350,233810,247810,170080,189540,143630,147640,167410,158230
"DG(18:1(9)_20:2(11,14))",30460,39912,25033,37660,23998,0,15130,14640,34530,23255
"DG(18:1(9)_20:3(8,11,14))",198900,262900,210030,247500,167300,289820,236470,248400,290520,280930
"DG(18:1(9)_20:5(5,8,11,14,17))",631700,723300,554300,662000,454500,705440,1950200,1826000,2104500,1863900
DG(18:1(9)_22:1(13)),20730,26920,20820,24040,18080,14250,0,11040,12870,11860
"DG(18:1(9)_22:3(10,13,16))",0,6793,8560,11274,0,0,3910,7869,7643,15670
"DG(18:1(9)_22:4(7,10,13,16))",68270,91630,79090,89150,59890,182960,157430,156140,176890,153500
"DG(18:2(9,12)_18:2(9,12))",708800,771300,596300,685700,533400,2542100,2219000,1941000,2263000,2035000
"DG(18:2(9,12)_18:3(9,12,15))",189320,126190,137540,171380,99980,384800,412900,310200,373200,317700
"DG(18:2(9,12)_20:3(8,11,14))",81190,78320,91590,0,68430,152900,0,0,189800,150900
"DG(18:2(9,12)_20:4(5,8,11,14))",18710,15020,11590,16270,10520,0,30410,33330,37580,30570
"DG(18:2(9,12)_22:4(7,10,13,16))",98880,113643,93220,106000,67010,350000,304000,284200,330000,299500
"DG(18:2(9,12)_22:5(7,10,13,16,19))",29480,29470,20140,23630,15090,150000,148871,127300,140000,133024
