feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:NEG_liver1_0.mzML:area,datafile:NEG_liver1_1.mzML:area,datafile:NEG_liver1_2.mzML:area,datafile:NEG_liver1_3.mzML:area
1014,1.3784,555.27256,555.27284,0.5042566100931373,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.8770888888888889,0.6116122222222392,0.0,0.1488701111111128,Some,Some,54120.0,0.0,0.0,0.0
1018,1.3815,555.27277,555.27284,0.12606415242091407,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.81965,0.48769875000002116,0.09299515042265016,0.20513099533812226,Some,Some,0.0,57460.0,52740.0,58800.0
1247,1.3992,509.28829,509.28849,0.39270473205989653,C24H47O9P,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:1,LPG 18:1(9),0.9103000000000001,0.811080000000004,0.0,0.1721380000000004,All,Some,19300.0,0.0,17330.0,19270.0
1278,1.408,524.27827,524.27826,0.019073840625686875,C27H44NO7P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 22:6,"LPE 22:6(4,7,10,13,16,19)",0.8264333333333335,0.827025000000044,0.08825427337029457,0.2359492520295734,All,Some,149800.0,107400.0,130900.0,115900.0
1303,1.4108,524.29878,524.27826,39.1395210625737,C27H44NO7P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 22:6,"LPE 22:6(4,7,10,13,16,19)",0.8694999999999999,0.8456733333333327,0.03701464479085778,0.2011290491660195,All,Some,10270.0,9721.0,9069.0,0.0
1304,1.414,500.27824,500.27826,0.039977751594379246,C25H44NO7P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:4,"LPE 20:4(5,8,11,14)",0.9174666666666669,0.7467183333333196,0.017239430330189234,0.18021004426415002,Some,Some,59555.482220938866,21490.33990767939,0.0,21171.39338654504
1304,1.414,500.27824,500.27826,0.039977751594379246,C25H44NO7P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:4,"LPE 20:4(8,11,14,17)",0.8945142857142859,0.6415371428571542,0.023987036767927693,0.17279477227148618,Some,Some,51844.517779061134,64869.660092320606,0.0,43658.60661345496
1756,2.3992,524.2779,524.27826,0.6866582642594832,C27H44NO7P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 22:6,"LPE 22:6(4,7,10,13,16,19)",0.9862909090909094,0.8958563636364416,0.023965941738894325,0.20738748066385054,Some,Some,630700.0,724100.0,686400.0,754400.0
1844,2.436,481.23567,481.23606,0.810413084966415,C25H39O7P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)O,[M-H]-,LPA 22:6,"LPA 22:6(4,7,10,13,16,19)",0.7382000000000003,0.3311466666666926,0.0,0.10693466666666929,Some,None,,27190.0,,0.0
2020,2.5353,500.27808,500.27826,0.3597997642357896,C25H44NO7P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:4,"LPE 20:4(5,8,11,14)",0.9410571428571428,0.8703114285714507,0.009653992062711395,0.18886005079302848,Some,Some,664853.6376413894,687064.4670171234,741685.6231611398,751904.5573907283
