feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,fragment_mz_delta,fragment_fatty_acid_pos,fragment_types,datafile:NEG_liver1_0.mzML:area,datafile:NEG_liver1_1.mzML:area,datafile:NEG_liver1_2.mzML:area,datafile:NEG_liver1_3.mzML:area
1014,1.3784,555.27256,555.27284,0.5042566100931373,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.8770888888888889,0.6116122222222392,0.0,0.1488701111111128,Some,Some,0.0,0,substrate,54120.0,0.0,0.0,0.0
558,1.0718,329.08502,328.86624000000006,665.2552721736479,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.38680000000000003,0.7809400000001006,0.0,0.11677400000001006,Some,Some,-226.40659999999988,3,aldehyde,32.96378418329638,1494000000.0,1509000000.0,1502000000.0
905,1.3723,409.14556,408.99624,365.08893089087763,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.9878,0.850400000000036,0.0,0.18382000000000362,Some,Some,-146.27659999999997,9,aldehyde,0.0,1173000000.0,0.0,0.0
1325,1.4198,425.25784,424.99564,616.9475056261921,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.9172000000000002,0.7375200000000177,0.0,0.16547200000000178,Some,Some,-130.27719999999997,9,criegee,0.0,0.0,314900000.0,0.0
1042,1.3829,449.32592,449.06124,589.4073601186299,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.9910000000000001,0.7350400000000263,0.0,0.17260400000000264,Some,Some,-106.21159999999999,12,aldehyde,0.0,0.0,0.0,98329999.99999999
1008,1.3784,465.79466,465.06064,1578.3318063640984,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",1.0,0.2656999999999812,0.0,0.12656999999999813,Some,Some,-90.2122,12,criegee,13.708425720620843,0.0,0.0,0.0
1049,1.3829,489.18963,489.12623999999994,129.5984447697665,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.9910000000000001,0.9363299999999413,0.0,0.19273299999999416,Some,Some,-66.1466,15,aldehyde,0.0,0.0,0.0,536700000.0
667,1.2041,504.23088,505.12564,1771.36127954218,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.6513999999999998,0.10552000000001271,0.0,0.07569200000000124,Some,Some,-50.147200000000005,15,criegee,4.212860310421286,0.0,0.0,0.0
1059,1.3829,529.22088,529.19124,56.00999744434949,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.9910000000000001,0.9700800000000527,0.0,0.19610800000000528,Some,Some,-26.081599999999995,18,aldehyde,0.0,0.0,0.0,595100000.0
869,1.3672,544.31334,545.19064,1609.1618887660857,C28H45O9P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 22:6,"LPG 22:6(4,7,10,13,16,19)",0.9775999999999998,0.1229799999999841,0.0,0.1100579999999984,Some,Some,-10.082199999999995,18,criegee,0.0,0.0,0.0,484900000.0
