feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:POS_liver1_0.mzML:area,datafile:POS_liver1_1.mzML:area,datafile:POS_liver1_2.mzML:area,datafile:POS_liver1_3.mzML:area
6552,3.5316,478.32814,478.3292,2.216047023671977,C24H48NO6P,CCCCCCC=CCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:2,"LPC O-16:2(6,9)",0.6769000000000001,0.8617000000000132,0.05515246759020086,0.19798197407216203,All,Some,0.0,6561.0,0.0,
7815,4.088,438.29762,438.2979,0.6388349112145698,C21H44NO6P,CCCCCCCCCC=CCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-16:1,LPE O-16:1(6),0.8787000000000003,0.7242799999999647,0.1787674188814366,0.30331193510514576,All,All,0.0,83260.0,0.0,35415.813966726906
7815,4.088,438.29762,438.2979,0.6388349112145698,C21H44NO6P,CCCCCCC=CCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-16:1,LPE O-16:1(9),0.8082000000000003,0.9775199999999984,0.0,0.17857199999999987,All,None,0.0,0.0,0.0,785.1631633626026
7815,4.088,438.29762,438.2979,0.6388349112145698,C21H44NO6P,CCCCCCCCC=CCCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-16:1,LPE O-16:1(7),0.9276,0.7810000000000059,0.0,0.1708600000000006,All,None,0.0,0.0,0.0,1039.0228699104841
7824,4.0937,438.29758,438.2979,0.7300970414066071,C21H44NO6P,CCCCCCCCCC=CCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-16:1,LPE O-16:1(6),0.8901000000000003,0.724239999999952,0.18297396882908784,0.30781317506326555,All,All,0.0,0.0,66407.5275356443,0.0
7824,4.0937,438.29758,438.2979,0.7300970414066071,C21H44NO6P,CCCCCCC=CCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-16:1,LPE O-16:1(9),0.8196000000000003,0.9775600000000111,0.0,0.17971600000000115,All,None,0.0,0.0,0.0,0.0
7824,4.0937,438.29758,438.2979,0.7300970414066071,C21H44NO6P,CCCCCCCCC=CCCCCCCOCC(O)COP(=O)(O)OCCN,[M+H]+,LPE O-16:1,LPE O-16:1(7),0.9226000000000001,0.7809300000000121,0.0,0.17035300000000125,All,None,0.0,0.0,8842.4724643557,0.0
8890,4.514,480.34492,480.34485,0.145728636403195,C24H50NO6P,CCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(9),0.7539000000000007,0.8610999999999933,0.0,0.1614999999999994,All,Some,0.0,0.0,0.0,0.0
8890,4.514,480.34492,480.34485,0.145728636403195,C24H50NO6P,CCCCCCCCC=CCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(7),0.9946999999999999,0.5785199999999975,0.0,0.15732199999999974,All,None,0.0,0.0,453.89885240200704,0.0
8890,4.514,480.34492,480.34485,0.145728636403195,C24H50NO6P,CCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(6),0.4771000000000001,0.9838799999999992,0.0,0.14609799999999995,All,None,0.0,0.0,24116.101147597994,0.0
