feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_0.mzML:area
1088,1.674,342.264,342.26389,0.3213894401962585,C19H36NO4,CCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 12:1,CAR 12:1(6),0.10600000000000032,0.06590999999997393,0.9374386488920747,0.9374386488920747,All,All,204403.9764037579,204848.91548242333,180874.51605556824,207023.1958762887
1088,1.674,342.264,342.26389,0.3213894401962585,C19H36NO4,CCCCCCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 12:1,CAR 12:1(5),0.18800000000000017,0.16150499999997692,0.2711309722765012,0.2711309722765012,All,All,164194.8874808827,143964.09872849667,189769.98405830108,213668.38487972508
1088,1.674,342.264,342.26389,0.3213894401962585,C19H36NO4,CCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 12:1,CAR 12:1(9),0.5029999999999999,0.4976299999999867,0.020177937013318915,0.020177937013318915,All,Some,58401.13611535941,52186.98578908003,63355.499886130725,55308.41924398626
1471,2.101,370.29529,370.29519,0.2700548177029828,C21H40NO4,CCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 14:1,CAR 14:1(9),0.4580000000000002,0.8433100000000309,0.9344543587210471,0.9344543587210471,All,Some,,315000.0,,
1584,2.227,396.31077,396.31084,0.17662903188264356,C23H42NO4,CCCCCCC=CCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:2,"CAR 16:2(6,9)",0.48350000000000004,0.8102949999999964,0.538436976826857,0.538436976826857,All,Some,0.0,0.0,0.0,17000.0
1616,2.255,396.31091,396.31084,0.17662903188264356,C23H42NO4,CCCCCCC=CCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:2,"CAR 16:2(6,9)",0.558,0.621114999999989,0.5401141435120287,0.5401141435120287,All,Some,38300.0,33300.0,24900.0,15500.0
1680,2.337,370.29515,370.29519,0.10802192708119311,C21H40NO4,CCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 14:1,CAR 14:1(6),0.47999999999999954,0.8066749999999558,0.9201210079609339,0.9201210079609339,All,All,0.0,89309.3535607305,37300.0,0.0
1680,2.337,370.29515,370.29519,0.10802192708119311,C21H40NO4,CCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 14:1,CAR 14:1(9),0.6630000000000003,0.46838500000001204,0.4705436573072712,0.4705436573072712,All,Some,0.0,57690.6464392695,0.0,0.0
1847,2.61,370.29495,370.29519,0.6481315623336502,C21H36O4,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)CO,[M+NH4]+,MG 18:3,"MG 18:3(9,12,15)",0.1596000000000002,0.5379819999999768,0.009755389570888237,0.009755389570888237,All,Some,0.0,0.0,0.0,377.02390131071706
1847,2.61,370.29495,370.29519,0.6481315623336502,C21H36O4,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)CO,[M+NH4]+,MG 18:3,"MG 18:3(6,9,12)",0.3544000000000002,0.5573919999999759,0.0021452611507819497,0.0021452611507819497,Some,Some,0.0,0.0,0.0,11622.976098689283
