feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_0.mzML:area,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_3.mzML:area,datafile:NEG_NIST_1.mzML:area
P15960,16.84,612.55623,612.55615,0.130600272,C37H70O5,CCCCCCC=CCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCC,[M+NH4]+,DG 16:0_18:1,DG 16:0_18:1(11),0.936,0.06667,0.000737759,0.000737759,All,Some,459000,396000,491000,462000,,,,
N1067,2.995,564.33063,564.33069,0.10632064,C26H50NO7P,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,LPC 18:2,"LPC 18:2(9,12)",0.5695,0.706055,0.00103715,0.00103715,All,Some,,,,,0,93712.30657,63241.26161,55175.83331
P20048,20.293,790.69181,790.69192,0.139118659,C49H88O6,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCCCCCCCC)COC(=O)CCCCCCCCCCC,[M+NH4]+,TG 12:0_16:1_18:2,"TG 12:0_16:1(6)_18:2(6,9)",0.3015,0.5100275,0.001195087,0.001195087,All,Some,108428.6473,111473.438,111056.8815,148020.816,,,,
P20055,20.297,764.67607,764.67627,0.26154859,C47H86O6,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCC,[M+NH4]+,TG 10:0_16:0_18:2,"TG 10:0_16:0_18:2(9,12)",0.121,0.503055,0.001524241,0.001524241,All,Some,265739.5262,164695.1774,424800,261955.0736,,,,
P28917,23.882,984.8948,984.89537,0.578741679,C63H114O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,TG 18:1_18:2_24:1,"TG 18:1(11)_18:2(6,9)_24:1(15)",0.2865,0.2789575,0.001968917,0.001968917,All,Some,13203.44229,21974.84848,16267.26862,17384.91283,,,,
P28917,23.882,984.8948,984.89537,0.578741679,C63H114O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,TG 18:1_18:2_24:1,"TG 18:1(6)_18:2(6,9)_24:1(15)",0.249,0.647565,0.001968917,0.001968917,Some,Some,9150.9006,11939.09091,10802.48307,15373.49128,,,,
P1847,2.61,370.29495,370.29519,0.648131562,C21H36O4,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)CO,[M+NH4]+,MG 18:3,"MG 18:3(6,9,12)",0.3544,0.557392,0.002145261,0.002145261,Some,Some,0,0,0,11622.9761,,,,
P28917,23.882,984.8948,984.89537,0.578741679,C63H114O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,TG 18:1_18:2_24:1,"TG 18:1(9)_18:2(6,9)_24:1(15)",0.06,0.46176,0.003937835,0.003937835,Some,Some,20245.6571,23186.06061,29230.24831,27841.59589,,,,
P20632,20.773,766.69203,766.69192,0.143473535,C47H88O6,CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCC,[M+NH4]+,TG 12:0_14:0_18:1,TG 12:0_14:0_18:1(9),0.355,0.852755,0.004297818,0.004297818,All,All,0,0,0,13700,,,,
P28225,23.546,930.84854,930.84842,0.128914652,C59H108O6,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCC=CCCCCCC)COC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,TG 18:1_18:1_20:1,TG 18:1(11)_18:1(6)_20:1(13),0.245,0.68353,0.004684184,0.004684184,All,Some,67769.3475,56506.10978,52112.93653,55396.81068,,,,
