feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_3.mzML:area
507,2.511,407.21996,407.22041,1.1050526666890974,C19H37O7P,CCCCCCCCCC=CCCCCC(=O)OCC(O)COP(=O)(O)O,[M-H]-,LPA 16:1,LPA 16:1(6),0.4980000000000002,0.6898600000000101,0.0,0.11878600000000104,Some,None,0.0,0.0,0.0,0.0
507,2.511,407.21996,407.22041,1.1050526666890974,C19H37O7P,CCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)O,[M-H]-,LPA 16:1,LPA 16:1(9),0.2450000000000001,0.9270150000000115,0.0,0.11720150000000117,All,None,0.0,0.0,0.0,0.0
507,2.511,407.21996,407.22041,1.1050526666890974,C19H37O7P,CCCCCCCCC=CCCCCCC(=O)OCC(O)COP(=O)(O)O,[M-H]-,LPA 16:1,LPA 16:1(7),0.7360000000000007,0.10935999999998103,0.0,0.08453599999999817,Some,None,0.0,0.0,0.0,13000.0
533,2.571,524.27818,524.27826,0.15259072543918395,C27H44NO7P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 22:6,"LPE 22:6(4,7,10,13,16,19)",0.6991111111111111,0.8537588888889331,0.08364093193392982,0.2221997455471483,Some,Some,165000.0,120000.0,167000.0,182000.0
595,2.716,500.27814,500.27826,0.23986650945265184,C25H44NO7P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:4,"LPE 20:4(5,8,11,14)",0.8880000000000001,0.7937714285714362,0.2245835232749942,0.34784396147713903,All,Some,345274.85956080834,263212.1771217712,352254.67160430766,348207.05077611154
595,2.716,500.27814,500.27826,0.23986650945265184,C25H44NO7P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:4,"LPE 20:4(8,11,14,17)",0.534857142857143,0.9052771428571467,0.11233072854047599,0.23387801140380976,All,Some,109725.14043919166,67787.82287822878,96745.32839569234,111792.94922388844
648,2.762,538.31525,538.31504,0.3901061356900509,C24H48NO7P,CCCCCCCCC=CCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,LPC 16:1,LPC 16:1(7),0.8730000000000002,0.9198300000000188,0.0,0.1792830000000019,All,None,8498.092383158468,,0.0,0.0
648,2.762,538.31525,538.31504,0.3901061356900509,C24H48NO7P,CCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,LPC 16:1,LPC 16:1(9),0.8120000000000003,0.9277250000000095,0.0,0.17397250000000097,All,None,27455.375391742746,,0.0,0.0
648,2.762,538.31525,538.31504,0.3901061356900509,C24H48NO7P,CCCCCCCCCC=CCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,LPC 16:1,LPC 16:1(6),0.601,0.881764999999973,0.0,0.1482764999999973,All,None,14546.532225098787,,0.0,0.0
691,2.815,457.15919,457.23606,168.11884871894253,C23H39O7P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)(O)O,[M-H]-,LPA 20:4,"LPA 20:4(8,11,14,17)",0.7439999999999998,0.8404983333333765,0.0,0.15844983333333765,Some,None,0.0,,0.0,70308.10574339103
