feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_0.mzML:area,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_3.mzML:area
P1088,1.674,342.264,342.26389,0.3213894401962585,C19H36NO4,CCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 12:1,CAR 12:1(6),0.10600000000000032,0.06590999999997393,0.9374386488920747,0.7671419191136573,All,All,209766.14349775785,211275.13499614297,185869.4125906857,212875.44169611312,,,,
P1088,1.674,342.264,342.26389,0.3213894401962585,C19H36NO4,CCCCCCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 12:1,CAR 12:1(5),0.18800000000000017,0.16150499999997692,0.2711309722765012,0.25185527782119865,All,All,168502.24215246638,148480.32913345334,195010.53124268664,219708.48056537102,,,,
P1088,1.674,342.264,342.26389,0.3213894401962585,C19H36NO4,CCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 12:1,CAR 12:1(9),0.9059999999999997,0.9021900000000187,0.04035587402663783,0.21310369922131212,All,Some,48731.614349775795,41244.535870403706,53120.056166627655,43416.07773851591,,,,
P1471,2.101,370.29529,370.29519,0.2700548177029828,C21H40NO4,CCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 14:1,CAR 14:1(9),0.4580000000000002,0.8433100000000309,0.9344543587210471,0.8776944869768408,All,Some,338000.0,0.0,344000.0,431000.0,,,,
P1471,2.101,370.29529,370.29519,0.2700548177029828,C21H40NO4,CCCCCCCCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 14:1,CAR 14:1(5),0.9720000000000004,0.9023000000000252,0.0,0.1874300000000026,All,None,0.0,315000.0,0.0,0.0,,,,
P1584,2.227,396.31077,396.31084,0.17662903188264356,C23H42NO4,CCCCCCC=CCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:2,"CAR 16:2(6,9)",0.48350000000000004,0.8102949999999964,0.538436976826857,0.5601290814614852,All,Some,0.0,0.0,0.0,17000.0,,,,
P1616,2.255,396.31091,396.31084,0.17662903188264356,C23H42NO4,CCCCCCC=CCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:2,"CAR 16:2(6,9)",0.558,0.621114999999989,0.5401141435120287,0.5500028148096219,All,Some,38300.0,33300.0,24900.0,15500.0,,,,
P1680,2.337,370.29515,370.29519,0.10802192708119311,C21H40NO4,CCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 14:1,CAR 14:1(6),0.47999999999999954,0.8066749999999558,0.9201210079609339,0.8647643063687427,All,All,0.0,1471.2480120532352,919.5800785502174,0.0,,,,
P1680,2.337,370.29515,370.29519,0.10802192708119311,C21H40NO4,CCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 14:1,CAR 14:1(9),0.6630000000000003,0.46838500000001204,0.4705436573072712,0.48957342584581826,All,Some,0.0,88415.50179961494,36380.419921449786,0.0,,,,
P1680,2.337,370.29515,370.29519,0.10802192708119311,C21H40NO4,CCCCCCCCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 14:1,CAR 14:1(5),0.8800000000000003,0.7816850000000102,0.0,0.16616850000000105,All,None,0.0,57113.2501883318,0.0,0.0,,,,
P1847,2.61,370.29495,370.29519,0.6481315623336502,C21H36O4,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)CO,[M+NH4]+,MG 18:3,"MG 18:3(9,12,15)",0.6204000000000001,0.7176019999999766,0.006993084290377714,0.13939466743229983,All,Some,0.0,0.0,0.0,1823.543455956844,,,,
P1847,2.61,370.29495,370.29519,0.6481315623336502,C21H36O4,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)CO,[M+NH4]+,MG 18:3,"MG 18:3(6,9,12)",0.5380000000000003,0.5574359999999785,0.0,0.1095435999999979,Some,Some,0.0,0.0,0.0,10176.456544043156,,,,
P2047,2.821,398.32645,398.32649,0.1004201351405304,C23H44NO4,CCCCCCCCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(7),0.52,0.7954900000000293,0.9374448530656501,0.8815048824525229,All,All,48.57384168279368,0.0,0.0,0.0,,,,
P2047,2.821,398.32645,398.32649,0.1004201351405304,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.30799999999999983,0.8204900000000066,0.923348826176197,0.8515280609409582,All,Some,154608.33017443758,148235.80927667857,172778.39654344693,163576.26824183462,,,,
P2047,2.821,398.32645,398.32649,0.1004201351405304,C23H44NO4,CCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(6),0.9359999999999999,0.7816200000000322,0.0,0.17176200000000325,All,None,11343.095983879659,4764.190723321441,6221.603456553048,6423.731758165393,,,,
P2125,2.889,566.32145,566.32171,0.4591030070623358,C28H50NO7P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 20:4,"LPC 20:4(8,11,14,17)",0.8693333333333334,0.7379816666666746,0.057094317922284664,0.20640695433782855,All,Some,18355.612529260947,17199.02343033844,31263.676193318228,22539.949437622534,,,,
P2125,2.889,566.32145,566.32171,0.4591030070623358,C28H50NO7P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 20:4,"LPC 20:4(5,8,11,14)",0.7600000000000003,0.7851442857143606,0.0,0.1545144285714361,Some,None,57844.38747073906,50300.976569661565,52336.32380668178,56560.05056237746,,,,
P2178,2.927,448.34176,448.34214,0.8475669941489037,C27H46NO4,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(8,11,14,17)",0.723,0.7931475000000177,0.23408741043634207,0.33888467834907543,All,Some,14461.23553691048,14845.742582158167,0.0,20236.607758228325,,,,
P2178,2.927,448.34176,448.34214,0.8475669941489037,C27H46NO4,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(5,8,11,14)",0.828,0.7683300000000273,0.0,0.15963300000000274,All,None,3738.764463089519,4154.257417841833,0.0,4863.392241771675,,,,
P2289,3.034,424.34159,424.34214,1.2961239248490042,C25H46NO4,CCCCCCCCC=CCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:2,"CAR 18:2(6,9)",0.5800000000000001,0.7757700000000227,0.4766525141446747,0.5168990113157421,Some,Some,85622.39566535511,49484.15922014622,166431.2546957175,84414.77333907613,,,,
P2289,3.034,424.34159,424.34214,1.2961239248490042,C25H46NO4,CCCCCC=CCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:2,"CAR 18:2(9,12)",0.5999999999999996,0.8826699999999903,0.0,0.148266999999999,All,None,168377.60433464492,105515.84077985377,41568.74530428249,103585.22666092387,,,,
P2305,3.046,542.32411,542.32171,4.425417525634341,C26H50NO7P,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 18:2,"LPC 18:2(9,12)",0.8540000000000001,0.9212000000000273,0.0,0.17752000000000276,Some,Some,501000.0,,85877.19298245614,0.0,,,,
P2305,3.046,542.32411,542.32171,4.425417525634341,C26H50NO7P,CCCCCCCCC=CCC=CCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 18:2,"LPC 18:2(6,9)",0.75,0.8812700000000291,0.0,0.1631270000000029,Some,None,0.0,,359122.8070175438,685000.0,,,,
P2444,3.111,478.29346,478.29282,1.3380924262583975,C23H44NO7P,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M+H]+,LPE 18:2,"LPE 18:2(9,12)",0.5384999999999998,0.8803574999999881,0.06945226547731284,0.19744756238184907,All,Some,9223.256821134692,0.0,2425.285528408269,0.0,,,,
P2444,3.111,478.29346,478.29282,1.3380924262583975,C23H44NO7P,CCCCCCCCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M+H]+,LPE 18:2,"LPE 18:2(6,9)",0.5384999999999998,0.6790174999999863,0.0,0.1217517499999986,All,None,86276.7431788653,0.0,25674.71447159173,0.0,,,,
P2568,3.21,424.34191,424.34214,0.5420154594774397,C25H46NO4,CCCCCCCCC=CCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:2,"CAR 18:2(6,9)",0.5974999999999999,0.6456824999999924,0.4510854956244126,0.48518664649952936,All,Some,0.0,0.0,1383.954023456589,936.7226864316502,,,,
P2568,3.21,424.34191,424.34214,0.5420154594774397,C25H46NO4,CCCCCC=CCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:2,"CAR 18:2(9,12)",0.5535000000000001,0.872627499999993,0.24015671643485795,0.33473812314788565,All,Some,0.0,0.0,143616.0459765434,77263.27731356835,,,,
P2921,3.494,480.30833,480.30847,0.291479348651908,C23H46NO7P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M+H]+,LPE 18:1,LPE 18:1(11),0.8579999999999997,0.9272200000000055,0.0,0.17852200000000054,All,None,33200.0,0.0,0.0,29450.990223113564,,,,
P2921,3.494,480.30833,480.30847,0.291479348651908,C23H46NO7P,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M+H]+,LPE 18:1,LPE 18:1(9),0.9539999999999993,0.7920250000000522,0.0,0.17460250000000516,All,None,0.0,0.0,0.0,0.0,,,,
P2921,3.494,480.30833,480.30847,0.291479348651908,C23H46NO7P,CCCCCCCCCCCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M+H]+,LPE 18:1,LPE 18:1(6),0.8659999999999997,0.808840000000032,0.0,0.16748400000000319,Some,None,0.0,0.0,0.0,6149.009776886437,,,,
P3007,3.597,424.34181,424.34214,0.7776743548558199,C25H46NO4,CCCCCCCCC=CCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:2,"CAR 18:2(6,9)",0.9213333333333334,0.7740066666666886,0.5678101505444654,0.6237821204355746,All,Some,0.0,16.114014829220856,0.0,0.0,,,,
P3007,3.597,424.34181,424.34214,0.7776743548558199,C25H46NO4,CCCCCC=CCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:2,"CAR 18:2(9,12)",0.8346666666666666,0.8467733333333362,0.30884141727253256,0.41521713381802633,All,Some,0.0,4893.885985170779,0.0,0.0,,,,
P3258,3.769,478.32962,478.3292,0.8780563677960356,C24H48NO6P,CCCCCCC=CCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:2,"LPC O-16:2(6,9)",0.6849999999999998,0.8409024999999843,0.19192998547563758,0.3061342383805085,All,Some,36900.0,52100.0,0.0,0.0,,,,
P3378,3.864,478.33123,478.3292,4.243939111370684,C24H48NO6P,CCCCCCC=CCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:2,"LPC O-16:2(6,9)",0.5900000000000001,0.8425125000000122,0.19189929919212742,0.29677068935370315,All,Some,14600.0,0.0,0.0,0.0,,,,
P3388,3.884,478.32882,478.3292,0.7944319519003447,C24H48NO6P,CCCCCCC=CCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:2,"LPC O-16:2(6,9)",0.5700000000000001,0.8401025000000146,0.19149628283666242,0.2942072762693314,All,Some,16200.0,15600.0,0.0,0.0,,,,
P3443,3.933,426.35758,426.35779,0.49254406736237927,C25H48NO4,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(9),0.6140000000000003,0.7953599999999881,0.48267884191155336,0.5270790735292415,All,Some,0.0,34.00683219463423,0.0,0.0,,,,
P3443,3.933,426.35758,426.35779,0.49254406736237927,C25H48NO4,CCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(11),0.5659999999999998,0.8726399999999899,0.0,0.143863999999999,All,None,0.0,230.69905015830696,0.0,0.0,,,,
P3443,3.933,426.35758,426.35779,0.49254406736237927,C25H48NO4,CCCCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(6),0.7759999999999998,0.5065499999999759,0.0,0.12825499999999757,All,None,0.0,125735.29411764706,0.0,0.0,,,,
P3479,3.968,478.32946,478.3292,0.5435587038567595,C24H48NO6P,CCCCCCC=CCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:2,"LPC O-16:2(6,9)",0.6299999999999999,0.7079374999999999,0.1927698519484009,0.2880096315587207,All,Some,22700.0,24000.0,0.0,16800.0,,,,
P3483,3.97,508.34021,508.37615,70.69568468147516,C26H54NO6P,CCCCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(6),0.5329999999999999,0.7608000000000459,0.28782792907466787,0.3596423432597389,All,Some,0.0,0.0,3386.9297163995066,2153.144208037825,,,,
P3483,3.97,508.34021,508.37615,70.69568468147516,C26H54NO6P,CCCCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(9),0.9960000000000004,0.903030000000058,0.0,0.18990300000000584,All,Some,0.0,0.0,9213.070283600493,2769.235618597321,,,,
P3483,3.97,508.34021,508.37615,70.69568468147516,C26H54NO6P,CCCCCCC=CCCCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(11),0.9489999999999998,0.9149900000000173,0.0,0.1863990000000017,All,None,0.0,0.0,0.0,3137.620173364854,,,,
P3511,3.992,544.33757,544.33736,0.38579016519872006,C26H52NO7P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 18:1,LPC 18:1(11),0.7629999999999999,0.8584300000000269,0.0,0.16214300000000267,All,None,0.0,0.0,60447.06377604714,164347.19999999998,,,,
P3511,3.992,544.33757,544.33736,0.38579016519872006,C26H52NO7P,CCCCCCCCCCCC=CCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 18:1,LPC 18:1(6),0.96,0.6440400000000182,0.0,0.16040400000000182,All,None,192011.8343195266,0.0,0.0,0.0,,,,
P3511,3.992,544.33757,544.33736,0.38579016519872006,C26H52NO7P,CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+Na]+,LPC 18:1,LPC 18:1(9),0.815,0.5597099999999955,0.0,0.13747099999999957,All,None,397988.1656804734,532000.0,518552.93622395286,513652.8,,,,
P3537,4.015,426.35768,426.35779,0.2579992733485503,C25H48NO4,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(9),0.4500000000000006,0.7954600000000482,0.48010682754609674,0.5086314620368824,All,Some,0.0,148.1597624846113,0.0,0.0,,,,
P3537,4.015,426.35768,426.35779,0.2579992733485503,C25H48NO4,CCCCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(6),0.7159999999999993,0.7482000000000539,0.0,0.14642000000000532,All,None,0.0,52.76251740080424,127.95364636021944,136.03162035150902,,,,
P3537,4.015,426.35768,426.35779,0.2579992733485503,C25H48NO4,CCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(11),0.3099999999999987,0.9248100000000363,0.0,0.12348100000000352,All,None,500000.0,547799.0777201146,634872.0463536398,865863.9683796485,,,,
P3613,4.093,478.32912,478.3292,0.16724883202905674,C24H48NO6P,CCCCCCC=CCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:2,"LPC O-16:2(6,9)",0.5899999999999999,0.7078275000000076,0.1958322119046939,0.2864485195237559,All,Some,0.0,0.0,6380.0,0.0,,,,
P3783,4.265,480.34529,480.34485,0.9160085716941313,C24H50NO6P,CCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(6),0.9290000000000012,0.41115500000000793,0.41183673085857325,0.4634848846868595,All,Some,0.0,0.0,2513.011152416357,0.0,,,,
P3783,4.265,480.34529,480.34485,0.9160085716941313,C24H50NO6P,CCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(9),0.815999999999999,0.962190000000021,0.0,0.177819000000002,All,Some,0.0,0.0,3721.1895910780668,0.0,,,,
P3783,4.265,480.34529,480.34485,0.9160085716941313,C24H50NO6P,CCCCCCCCC=CCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(7),0.5149999999999997,0.828914999999995,0.0,0.13439149999999947,All,None,0.0,0.0,6765.7992565055765,0.0,,,,
P3952,4.375,480.30849,480.34485,75.6956174298568,C24H50NO6P,CCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(6),0.7840000000000007,0.4111249999999984,0.3399443505005794,0.39146798040046343,All,Some,0.0,10300.0,0.0,0.0,,,,
P3952,4.375,480.30849,480.34485,75.6956174298568,C24H50NO6P,CCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(9),0.8879999999999999,0.8431700000000149,0.14029633701879723,0.2853540696150393,All,Some,0.0,0.0,0.0,0.0,,,,
P3952,4.375,480.30849,480.34485,75.6956174298568,C24H50NO6P,CCCCCCCCC=CCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(7),0.5149999999999997,0.7921150000000239,0.0,0.13071150000000237,All,None,0.0,0.0,0.0,0.0,,,,
P4026,4.451,480.34518,480.34485,0.6870064288593526,C24H50NO6P,CCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(6),0.6320000000000014,0.4111249999999984,0.4074861549970874,0.43030142399766996,All,Some,0.0,111000.0,13589.256198347108,0.0,,,,
