name,datafile:pos_hela_HG1_O3.mzML:area,datafile:pos_hela_HG2_O3.mzML:area,datafile:pos_hela_HG3_O3.mzML:area,datafile:pos_hela_HG4_O3.mzML:area,datafile:pos_hela_HG5_O3.mzML:area,datafile:pos_hela_HG6_O3.mzML:area,datafile:pos_hela_LG1_O3.mzML:area,datafile:pos_hela_LG2_O3.mzML:area,datafile:pos_hela_LG3_O3.mzML:area,datafile:pos_hela_LG4_O3.mzML:area,datafile:pos_hela_LG5_O3.mzML:area,datafile:pos_hela_LG6_O3.mzML:area
group,HG,HG,HG,HG,HG,HG,LG,LG,LG,LG,LG,LG
CL(16:0_18:1(11)_16:0_18:1(11)),209000,0,204400,144650,41230,260900,306600,217890,281990,191320,115600,187800
Cer(d18:1(4)_16:0(2OH)),1285000,1286000,1177000,1139000,940000,754600,634400,697900,742700,812400,817600,894000
Cer(d18:1(4)_18:0(2OH)),189300,196100,151600,163100,159000,139400,88130,101900,80070,96460,89900,109700
Cer(d18:1(4)_20:0(3OH)),115800,131800,102100,95560,83610,90880,39750,41240,46200,52010,46980,50340
Cer(d18:1_24:1(15)),681000,642500,581400,513400,454400,362100,344600,328200,423800,476600,481600,563700
"Cer(d18:2(4,8)_18:0(2OH))",53770,55120,48110,50640,46540,44820,18630,23450,20700,22700,21280,21230
"Cer(d18:2(4,8)_20:0(2OH))",32740,36750,24650,22920,18550,22330,0,7687,0,9371,0,9209
DG(16:0_16:1(9)),71250,82990,68200,77130,53170,44350,0,23350,29520,41510,26640,30970
DG(16:0_18:1(11)),202900,216000,175000,203900,146400,123100,50260,58660,64880,67200,60810,58840
"DG(16:0_22:6(4,7,10,13,16,19))",127200,116500,102700,121100,111000,116800,9922,18180,11520,15570,12190,11680
DG(16:1(9)_18:1(9)),115820,109913,91980,89770,73300,57360,44750,57520,39780,66960,62815,68600
"DG(18:0_20:4(5,8,11,14))",110200,109500,92490,112200,111500,139500,0,23690,0,0,16330,0
DG(18:1(9)_18:1(9)),167400,183900,158900,145400,117800,102400,69420,86930,85310,51100,88820,77820
"DG(18:1(9)_20:4(5,8,11,14))",136600,124300,94830,102600,108500,119400,12310,30430,22200,0,26680,0
"DG(18:1(9)_22:6(4,7,10,13,16,19))",108800,110900,81380,102900,103200,102400,19050,47800,0,0,0,16830
PA(16:0_18:1(11)),0,0,0,19590,0,0,0,0,0,0,0,0
PA(18:1(9)_18:1(9)),58710,55550,25200,0,51600,57050,44000,0,52620,29230,0,35950
PC(14:0_16:1(9)),5451000,5914000,5139000,2865000,2436000,2400000,1979000,1713000,2984000,2604000,2897000,3340000
PC(16:0_16:1(9)),50800000,43680000,41690000,33220000,30010000,28680000,21210000,19380000,25330000,23550000,25920000,26720000
PC(16:0_18:1(11)),57270000,58140000,54330000,49450000,43390000,38440000,28280000,29080000,30530000,30340000,31200000,31830000
"PC(16:0_20:3(8,11,14))",3543000,3992000,3024000,3055000,2858000,2851000,0,0,0,0,0,0
"PC(16:0_20:5(5,8,11,14,17))",1848000,1665000,1558000,1612000,1455000,1416000,435800,529400,441100,425300,451300,437800
"PC(16:0_22:6(4,7,10,13,16,19))",4623000,4307000,3655000,3888000,3481000,3396000,577700,762600,578400,619700,583000,638100
PC(16:1(2)_18:1(9)),0,0,0,25472,0,0,0,0,0,0,0,0
PC(16:1(9)_16:1(9)),3514000,3718300,3595200,3839300,1646000,2625600,2419000,2328460,5161000,5190000,5709000,3905000
PC(18:1(13)_18:1(13)),22990000,26980000,21840000,17770000,14620000,11770000,13760000,13160000,15550000,14770000,16090000,16190000
"PC(18:1(9)_18:2(9,12))",7181000,6723000,5814000,5687000,4934000,3928000,3946000,4531000,4669000,4408000,4746000,5150000
"PC(18:2(6,9)_18:2(6,9))",6862390,6424130,5741640,6908150,7156320,8144200,1952400,2301000,2015200,2024200,2097500,2214300
