name,IN6,IN2,HFOA6,HFOA3,IN5,IN3,HG2,HG1,HG5,HFOA1,IN1,HFOA4,HG6,HFOA2,HFOA5,HG3,IN4,HG4
group,HG_Inhibitor,HG_Inhibitor,HF_OA,HF_OA,HG_Inhibitor,HG_Inhibitor,HG,HG,HG,HF_OA,HG_Inhibitor,HF_OA,HG,HF_OA,HF_OA,HG,HG_Inhibitor,HG
CL(16:0_18:1(11)_16:0_18:1(11)),55160,57390,63800,66353,67689,77670,77920,87536,95670,105400,106500,119100,128400,143800,145451,147200,152000,157830
"CL(18:1(9)_18:2(9,12)_18:2(9,12)_18:2(9,12))",38390,44960,46360,62800,70100,81020,30240,51480,35570,24520,0,14080,6833,15720,37790,13830,0,28160
Cer(d18:0_24:1(15)),0,0,0,0,0,0,0,0,0,0,6215,0,0,0,0,0,0,0
Cer(d18:1(4)_14:0(2OH)),80760,74620,72630,74310,80000,77470,68290,92400,68350,70770,73070,67170,71640,69270,71250,77870,74140,81230
Cer(d18:1(4)_16:0(2OH)),1357400,1304920,827830,858807,1382000,1385260,899530,1302000,882260,889991,1359300,843100,971340,851100,882600,1168060,1375230,1235000
Cer(d18:1(4)_18:0(2OH)),215400,194900,128200,119400,214500,215100,134700,156480,127510,123800,222700,118900,141000,123400,128000,157500,196000,172900
Cer(d18:1(4)_20:0(3OH)),131660,116300,65350,76770,105600,123160,69100,63920,63380,55970,129100,59830,82830,54680,52080,32530,95800,35840
Cer(d18:1(4)_22:0(3OH)),443200,446800,235300,239700,425000,414600,222700,278950,289500,229600,480600,232000,300800,219700,192800,271800,470000,308380
Cer(d18:1(4)_24:0(3OH)),1086000,1034000,490600,492900,1168000,1049000,694100,882330,758900,500100,1057000,469000,749700,494800,500900,834100,1061000,862400
Cer(d18:1(4)_26:0(2OH)),39650,36830,24610,28270,39160,39030,30550,39380,30160,24410,41380,23740,34970,26890,24610,38370,40540,31650
Cer(d18:1_24:1(15)),398400,414300,737200,707900,446810,387800,664100,767400,670600,767673,416800,740386,707786,725800,761684,682600,350932,738890
Cer(d18:1_26:1(17)),14380,13240,35949,36200,12590,12790,36535,34500,27200,29320,12270,30950,28380,36752,36410,40121,18295,32748
"Cer(d18:2(4,8)_20:0(2OH))",40820,45240,21780,21330,39920,46720,29530,31480,28370,22730,43670,21150,27510,22240,21240,32790,44500,33680
DG(16:0_16:1(9)),73000,47620,84530,86767,54980,65200,92670,94746,82730,86240,53830,72560,118800,76440,81490,123716,64120,119974
DG(16:0_18:1(11)),282000,274000,290100,299100,283200,269500,302600,346229,272000,296100,293620,280600,326400,299500,280900,304800,259224,295580
"DG(16:0_18:2(9,12))",0,0,0,11430,7385,0,4350,0,0,6059,11200,7155,0,0,0,0,0,0
DG(16:0_22:1(13)),19040,17420,0,0,12180,17130,0,0,13500,6333,12040,2623,16540,0,6386,0,13710,9897
DG(16:1(9)_18:1(9)),48110,51370,131740,129250,46710,50000,102700,69392,80750,128260,43000,118360,116690,125350,125230,120860,43690,124620
DG(18:0_18:1(9)),100100,102500,51120,48500,111400,104500,65040,27140,67570,33050,102700,47550,85830,55390,56720,75559,107000,70230
DG(18:1(9)_18:1(9)),104700,95443,304590,324740,101730,94455,179971,197550,147200,304400,91765,286400,178600,318960,300847,188835,87290,185960
"DG(18:1(9)_18:2(9,12))",26239,54500,128310,132280,38187,41219,48963,22460,52244,97550,53820,106997,50900,104000,113470,78250,48150,48570
DG(18:1(9)_20:1(11)),11650,9873,35410,38510,14060,9502,27710,19310,23360,33870,9885,33010,26420,35240,36370,0,11990,0
"DG(18:2(9,12)_18:2(9,12))",44902,52977,40682,64890,42990,50260,46378,32010,47961,84680,63270,49700,32400,60873,70570,65910,34920,80100
MGDG(16:0_16:1(9)),19460,0,0,0,0,0,16200,0,14930,0,0,27320,0,21500,0,0,27440,0
MGDG(16:0_18:1(9)),46330,45880,49360,50160,45800,45820,46850,45870,46290,50330,36580,40010,44310,23310,46980,43900,46010,42020
PA(14:0_16:1(9)),23830,27023,22380,26851,20762,24557,17530,21000,14616,16499,20550,26290,18740,24260,0,26980,22692,14643
PA(16:0_16:1(9)),131896,78530,106634,81740,88897,113650,130310,104984,127970,132780,117249,131900,98970,144030,124530,140550,119000,90960
