id,rt,mz,compound_name,adduct,cosine_score,mol_formula,smiles,datafile:pos_FRN1_O3.mzML:area,datafile:pos_FRN3_O3.mzML:area,datafile:pos_FRN5_O3.mzML:area,datafile:pos_HFO1_O3.mzML:area,datafile:pos_FRN4_O3.mzML:area,datafile:pos_FRN2_O3.mzML:area,datafile:pos_HFO2_O3.mzML:area,datafile:pos_HFO3_O3.mzML:area,datafile:pos_HFO5_O3.mzML:area,datafile:pos_HFO4_O3.mzML:area,chain_shorthand,db_shorthand,lipid_name,name,score
1840,3.136,494.32395,PC O-16:1,[M+H]+,0.98,C24H48NO7P,CCC\C=C/CCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC,0.0,0.0,0.0,3536.0,659.9,2984.0,3056.0,1615.0,0.0,2019.0,PC(O-16:1),PC(O-16:1(11)),PC(O-16:1(11)),PC(O-16:1(9)),0.7073333333333333
2032,3.413,522.35497,PC O-18:1,[M+H]+,1.0,C26H52NO7P,CCCCC(=O)OC(COCCCCCCCC\C=C/CCC)COP([O-])(=O)OCC[N+](C)(C)C,2142000.0,2079000.0,2113000.0,2616000.0,1672000.0,2973000.0,1813000.0,1724000.0,1973000.0,1539000.0,PC(O-18:1),PC(O-18:1(9)),PC(O-18:1(9)),PC(O-18:1(9)),0.7358333333333332
2158,3.587,522.35536,PC O-18:1,[M+H]+,1.0,C26H52NO7P,CCCCC(=O)OC(COCCCCCCCC\C=C/CCC)COP([O-])(=O)OCC[N+](C)(C)C,2535000.0,2264000.0,2202000.0,5733000.0,1815000.0,4170000.0,3506000.0,2907000.0,2595000.0,2757000.0,PC(O-18:1),PC(O-18:1(9)),PC(O-18:1(9)),PC(O-18:1(11)),0.8531666666666666
5287,6.008,788.54381,PG 18:2_18:2,[M+NH4]+,0.96,C42H75O10P,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,15710.0,19180.0,16150.0,63940.0,16390.0,30590.0,42800.0,39330.0,34750.0,35280.0,PG(18:2_18:2),"PG(18:2(9,12)_18:2(9,12))","PG(18:2(9,12)_18:2(9,12))","PG(18:2(9,12)_18:2(9,12))",0.09870000000000001
5760,6.344,808.51209,PS 18:2_20:4,[M+H]+,0.93,C44H74NO10P,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,0.0,0.0,173300.0,0.0,125200.0,236400.0,278300.0,0.0,192300.0,PS(18:2_20:4),"PS(18:2(9,12)_20:4(5,8,11,14))","PS(18:2(9,12)_20:4(5,8,11,14))","PS(18:2(9,12)_20:4(5,8,11,14))",0.17294444444444437
5837,6.431,788.54384,PG 18:0_18:4,[M+NH4]+,0.96,C42H75O10P,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,7292.0,10160.0,8541.0,0.0,8383.0,12780.0,13990.0,13740.0,15540.0,16790.0,PG(18:0_18:4),"PG(18:0_18:4(6,9,12,15))","PG(18:0_18:4(6,9,12,15))","PG(18:0_18:4(6,9,12,15))",0.5208333333333333
5952,6.54,806.49496,PS 18:2_20:5,[M+H]+,0.95,C44H72NO10P,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,25260.0,0.0,0.0,0.0,0.0,0.0,32370.0,0.0,59820.0,0.0,PS(18:2_20:5),"PS(18:2(9,12)_20:5(5,8,11,14,17))","PS(18:2(9,12)_20:5(5,8,11,14,17))","PS(18:2(9,12)_20:5(5,8,11,14,17))",0.3679333333333334
5982,6.561,788.54429,PG 16:0_20:4,[M+NH4]+,0.94,C42H75O10P,CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,0.0,0.0,17600.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(16:0_20:4),"PG(16:0_20:4(5,8,11,14))","PG(16:0_20:4(5,8,11,14))","PG(16:0_20:4(5,8,11,14))",0.4169999999999999
5995,6.569,764.54386,PG 16:0_18:2,[M+NH4]+,0.96,C40H75O10P,CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,82840.0,100200.0,84210.0,0.0,82890.0,116700.0,205000.0,175000.0,193600.0,197200.0,PG(16:0_18:2),"PG(16:0_18:2(9,12))","PG(16:0_18:2(9,12))","PG(16:0_18:2(9,12))",0.5605
6048,6.6,830.49456,PS 20:4_20:5,[M+H]+,0.93,C46H72NO10P,CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,0.0,0.0,0.0,4369.0,0.0,0.0,0.0,0.0,0.0,PS(20:4_20:5),"PS(20:4(5,8,11,14)_20:5(5,8,11,14,17))","PS(20:4(5,8,11,14)_20:5(5,8,11,14,17))","PS(20:4(5,8,11,14)_20:5(5,8,11,14,17))",0.6431578947368418
6175,6.672,790.5605,PG 18:1_18:2,[M+NH4]+,0.96,C42H77O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,24410.0,29190.0,26880.0,0.0,23570.0,37260.0,50520.0,43260.0,43450.0,44330.0,PG(18:1_18:2),"PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))",0.5310714285714282
